Horizon,naive_R2,naive_MAE,ets_R2,ets_MAE,arima_R2,arima_MAE,linear_reg_R2,linear_reg_MAE,xgboost_R2,xgboost_MAE,lightgbm_R2,lightgbm_MAE,extratrees_R2,extratrees_MAE,bilstm_R2,bilstm_MAE,homo_ensemble_R2,homo_ensemble_MAE,hetero_ensemble_R2,hetero_ensemble_MAE,naive_mem_R2,naive_mem_MAE,homo_ensemble_mem_R2,homo_ensemble_mem_MAE,cpu_improvement_pp,mem_improvement_pp
10min,0.7945924401283264,6.41425895690918,0.6901402473449707,8.447733879089355,0.7945924401283264,6.41425895690918,0.7986618876457214,7.7775959968566895,0.7984730005264282,7.3986992835998535,0.7948493734472616,6.408579156208608,0.8029018033708373,7.937268456747995,0.7945924401283264,6.41425895690918,0.7983036169177495,7.994171973678216,0.7983036169177495,7.994171973678216,0.4902263283729553,4.263408660888672,0.46784200166689405,4.766547791022259,0.37111767894231207,-2.2384326706061275
30min,0.4966766834259033,12.339411735534668,0.4096147418022156,14.002825736999512,0.4966766834259033,12.339411735534668,0.5291880965232849,13.893035888671875,0.5309392213821411,14.195895195007324,0.5011618611860369,12.29417062123535,0.5110917125068934,14.40282703995709,0.4966766834259033,12.339411735534668,0.5262168729437469,14.540478315321977,0.5262168729437469,14.540478315321977,0.1891179084777832,6.021670818328857,0.19616871299933625,6.416989870598572,2.954018951784354,0.7050804521553045
60min,0.1884680986404419,18.10951042175293,0.10386747121810913,19.624126434326172,0.1884680986404419,18.10951042175293,0.19191598892211914,20.460948944091797,0.19476252794265747,19.83892250061035,0.18909730105408984,18.102535904789228,0.1434840913197064,21.672603872414317,0.1884680986404419,18.10951042175293,0.16334858837429722,21.395667230127188,0.16334858837429722,21.395667230127188,-0.07096552848815918,7.492515563964844,-0.07314532433203924,8.022133367364319,-2.5119510266144673,-0.21797958438800613
120min,0.07549965381622314,20.39896583557129,-5.066394805908203e-05,21.728927612304688,0.07549965381622314,20.39896583557129,0.0895124077796936,23.823925018310547,0.07116222381591797,23.3617000579834,0.07526365466309426,20.42407895809053,-0.038466113024967274,25.89261072612189,0.07549965381622314,20.39896583557129,-0.015785207177399396,25.626101410062844,-0.015785207177399396,25.626101410062844,-0.41040921211242676,8.772326469421387,-0.44041641183307445,9.753318026519054,-9.128486099362254,-3.0007199720647693
