Horizon,BB_Naive_R2,BB_ML_R2_median,BB_Delta_pp,BB_Skill_median,BB_Pct_VMs_ML_Wins
10min,0.8113,0.6344,-8.68,-0.9575,12.2
30min,0.562,0.3611,-5.46,-0.67,35.9
60min,0.3014,0.1199,-0.79,-0.4976,47.4
120min,0.0306,0.009,3.3,-0.4009,51.9
