vm_id,n_points,mean_cpu,cv,hurst,acf_1h,acf_24h,omega
1005,8640,18.970083636463848,0.3202664715055927,0.9731757572003155,0.6881736762250316,0.4886979089528596,0.42690473444719057
1007,8640,17.87559895833333,0.19291713836259372,0.9991872458481337,0.6297693543829631,0.27036678836501354,0.35884860878810576
183,11288,43.793227195610804,1.1018343690161512,0.976710637436935,0.9392335978447758,0.45420929629873785,0.621298712846931
184,11286,42.489335071488014,1.1063916600956774,0.9896078202887622,0.9395670003700098,0.4484779137105763,0.6140030834713551
185,11285,43.866438900168404,1.1008171229245178,1.0413180260492885,0.9439631669936427,0.46605223316159416,0.6214044218636099
186,11284,42.97630297090263,1.1221786867554204,1.3325169487197903,0.9393237046188437,0.4414738648095445,0.6167802326083172
187,11285,43.73192689593304,1.1094297348424726,1.02733877112512,0.940819263339212,0.4586027336373693,0.6220150371973447
188,11284,43.53099319343144,1.1118097465276482,1.0626966321817926,0.9409099721825799,0.45089612809477064,0.6213082002332733
189,11286,43.41245961465509,1.1243864706338997,1.0287682554704345,0.9414779207971301,0.4676274632304719,0.6219478952976073
190,11285,43.07634327270598,1.1212502816204504,1.0602331088596069,0.9437488876283368,0.450759265984145,0.6208669317397235
191,11283,43.01545412185036,1.1217989112823537,1.026564290070386,0.942797345100417,0.46387712536042486,0.6273297763837296
192,11285,42.61582614389991,1.1306500334588283,1.0313741401814003,0.9395693945204612,0.44381579396894366,0.6197916070704654
193,11286,44.1155761785397,1.1002087369445452,1.0166075830196935,0.9430688572985967,0.44070183897652615,0.628299294087985
194,11286,42.95165833173708,1.1133002385021147,1.0618114415147604,0.9430117506367088,0.44561175475434034,0.625472649227788
195,11288,43.688034768239135,1.1237090827864542,1.0705289497790305,0.9356029870773517,0.43902498461040407,0.6131528018805525
196,11286,42.94043455350938,1.1278484610412145,1.0192708232680172,0.9439891364228966,0.44949953025818257,0.622614030342383
197,11286,43.370947595474114,1.1186054213708103,1.0522152160954121,0.9437760404236573,0.44005294790977856,0.6202206080456689
198,11282,43.149574122609145,1.1209843167866862,1.0413158598047398,0.9413440242505726,0.4526188280493175,0.619307259242518
199,11287,42.83040714475246,1.1254359536716814,1.0301816916025808,0.9415189485063863,0.4397565138710991,0.6172341206379328
200,11283,43.246562164644125,1.1208227897615037,1.0525987258595446,0.9442135461724206,0.4551765789542143,0.6252589161832618
201,11285,43.25213724956553,1.1273224166769236,1.047245007685122,0.9412312352997907,0.4361047065884312,0.6164892644540704
202,11282,44.19566042295224,1.1084066194880442,1.0406065130431108,0.9414904743179533,0.46180889174876755,0.6223227666990154
203,11285,43.88397411227329,1.1047346183270674,1.0295457642715014,0.9434695682302984,0.4643605020807194,0.6254272916677037
204,11284,42.495761538006086,1.1330418729272171,1.0450437668268404,0.9422569433698136,0.4402420310912258,0.6187509454482165
205,11285,43.36744902035886,1.1260869531383824,1.0434472043133667,0.9384952749628906,0.43216785761035714,0.6205455022089221
206,11286,42.6253093411661,1.129127957910564,1.0442023435047758,0.9418680999281809,0.4531247183189728,0.621096456821562
207,11283,43.30270637906905,1.1327946304628334,1.0269970177105083,0.9417687532731648,0.44865439652580635,0.6175795743601797
208,11284,43.451248065244656,1.1273665903661843,1.0294997425915242,0.9394144252195441,0.45139668175243347,0.6205686214877462
209,8613,34.98006990880554,1.3064854051723027,0.978793098506626,0.7827598973905099,0.25422517617105506,0.48947444642681515
210,11281,43.83547169503811,1.1286271795006093,0.9985771345142892,0.9378360305324729,0.4316564291568251,0.6098921284105266
211,8616,41.987022624398584,1.1081481822915513,0.9419354460809932,0.655002775890217,0.11660263614983117,0.41567641729161864
212,11285,44.194416326055666,1.1228013692353105,1.0765989698241463,0.9357892808860789,0.44094950450062964,0.6129290253460016
213,8618,43.16634144297465,1.0941015645524623,0.9526589242164452,0.6669098103198331,0.11642492910525995,0.42259691822201517
214,11283,44.21237697733643,1.1264455428889915,1.0541893708115868,0.9354525105336484,0.446645191814398,0.6098942596038819
215,11280,43.932322952362846,1.1251813200968304,1.085023851788324,0.9359612178868876,0.4403939978713827,0.6112189501480447
216,11287,44.46928403812208,1.1082997295835055,1.1057299705905805,0.939546172947833,0.4689052752137301,0.6145427772488455
217,11283,44.45574565523548,1.1111623846762488,1.0774717518156416,0.9406498788203674,0.45571537323925193,0.6200208898498754
219,7500,49.16641046176047,0.9398024848546095,0.9357620331179743,0.6350219235834561,0.03313103684270769,0.4077186835753073
220,7481,48.65208685958252,0.9600810886732137,0.9199001101171207,0.6200554339026053,0.03280123847904232,0.4023769669854641
221,7478,49.957275885972145,0.9525303778937371,0.9354269063108958,0.6183772421547862,0.013570723132958451,0.4037521171715551
222,7486,49.714164254349264,0.9417124718872482,0.9369945487126239,0.6373049007813556,0.02330216162629266,0.40668265389563263
223,7491,48.023384982975244,0.9530787358465108,0.9296294092246602,0.6164155951507254,0.05095994069424436,0.4030614604785908
224,7480,48.784277593507205,0.9599248410698352,0.9458844737812927,0.6197963662022496,-0.0022838824479950353,0.40784574843821664
225,7478,49.325906166153395,0.946369013786528,0.9362101674921616,0.6354964227726749,0.028399304170306207,0.41091459180261014
226,7485,48.22592247988039,0.9786644880530903,0.9265159670768729,0.6168315426348444,0.02259192245933737,0.4024973266873588
227,7479,48.708678824518174,0.9767143195754293,0.9226599615492292,0.6142880865693785,0.01494200886143224,0.4066400622420826
228,7477,49.67401415929485,0.9434204194716632,0.9505147656525126,0.6429695082845762,0.0075833533727236715,0.4149100127696599
229,7494,47.119834736837085,0.8902415781829391,0.9721150641192817,0.7329181628340908,0.03132386717797789,0.4290247311079334
230,7473,46.08337400840161,0.9157838847868613,0.9934711318887598,0.7108041413453728,0.0683346416647134,0.4365652763756944
231,7485,43.7188022871139,0.9446149861285207,0.9902091200518717,0.7483830573072797,0.036496905277717984,0.4389997458277627
232,7474,44.10934091357977,0.9599979583321737,0.9903207357896885,0.7510588523522828,0.006592402644865539,0.44647526295263584
233,7485,43.038308774049,0.9805225898726756,0.9934081026725032,0.7480579424423937,0.04614516425267748,0.4337618648217949
234,7476,43.80737313003565,0.9661246437484298,0.9876963739775884,0.7441818919674831,0.08204409084909657,0.447136634337712
