Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.1358113043611049,2.466833693673845,0.0,0.0
Without lag_immediate,lag_immediate,76,0.1361515047687205,2.463524731437851,-0.00034020040761562065,-0.003308962235994084
Without lag_extended,lag_extended,75,0.13184067887024975,2.472756326168787,0.00397062549085514,0.005922632494942182
Without rolling_mean,rolling_mean,77,0.13071586566570093,2.476724147445498,0.005095438695403964,0.009890453771653096
Without rolling_std,rolling_std,77,0.13388856691578366,2.4716811476857896,0.001922737445321232,0.004847454011944752
Without rolling_range,rolling_range,69,0.13173606947278682,2.477040983418474,0.004075234888318069,0.010207289744629033
Without trend,trend,77,0.13158192518471623,2.4742691155498746,0.004229379176388659,0.007435421876029746
Without acceleration,acceleration,81,0.1321643845404571,2.4751814568328196,0.003646919820647798,0.008347763158974786
Without volatility,volatility,79,0.1292981112682563,2.4791882802320515,0.00651319309284859,0.012354586558206648
Without temporal,temporal,80,0.028394676247196715,2.7340988781108466,0.10741662811390817,0.26726518443700176
Without historical,historical,81,0.13601283550097643,2.4658595240925725,-0.00020153113987153581,-0.0009741695812723883
Without cross_resource,cross_resource,79,0.13164853083726702,2.4737746682571733,0.0041627735238378705,0.00694097458332843
Without cluster,cluster,84,0.13002709957275072,2.473756640731019,0.005784204788354175,0.0069229470571743335
