Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.029671208900204804,1.6980394450713752,0.0,0.0
Without lag_immediate,lag_immediate,76,0.02818635499438471,1.6994871937781932,0.0014848539058200938,0.001447748706818075
Without lag_extended,lag_extended,75,0.028892018919661866,1.7025768061301292,0.0007791899805429381,0.004537361058754019
Without rolling_mean,rolling_mean,77,0.02916363996296556,1.6998889433613231,0.0005075689372392445,0.0018494982899479595
Without rolling_std,rolling_std,77,0.023384464573114716,1.7079983951708841,0.006286744327090088,0.009958950099508979
Without rolling_range,rolling_range,69,0.02531071358221837,1.7060564315726305,0.004360495317986435,0.008016986501255374
Without trend,trend,77,0.027258159930186987,1.7059105208038632,0.002413048970017817,0.00787107573248802
Without acceleration,acceleration,81,0.02767924218958362,1.7006292436357473,0.0019919667106211847,0.0025897985643721366
Without volatility,volatility,79,0.028051084210158006,1.6994181661144103,0.001620124690046798,0.0013787210430351582
Without temporal,temporal,80,0.024357802954080077,1.7029179847915952,0.005313405946124727,0.00487853972022001
Without historical,historical,81,0.02869800217018781,1.6979363366463158,0.0009732067300169955,-0.00010310842505933948
Without cross_resource,cross_resource,79,0.029390131121699525,1.7018064937400723,0.0002810777785052787,0.0037670486686971483
Without cluster,cluster,84,0.026338460526686536,1.703560134183448,0.0033327483735182684,0.0055206891120729296
