Feature,Coefficient,Abs_Coefficient
acf_24h,1.3145627629806023,1.3145627629806023
hurst,0.5414212494741193,0.5414212494741193
omega,0.25738225102389417,0.25738225102389417
acf_1h,-0.17062029301598397,0.17062029301598397
cv,0.013271761283567059,0.013271761283567059
