Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.3272357915064801,2.96551113588549,0.0,0.0
Without lag_immediate,lag_immediate,76,0.31395682649655454,2.9914662809773134,0.013278965009925536,0.025955145091823173
Without lag_extended,lag_extended,75,0.34863144234112664,2.9344817342548253,-0.021395650834646562,-0.03102940163066492
Without rolling_mean,rolling_mean,77,0.31553458830539793,2.9850120185273994,0.011701203201082144,0.01950088264190919
Without rolling_std,rolling_std,77,0.3233976209190803,2.988689563485095,0.0038381705873997696,0.023178427599604756
Without rolling_range,rolling_range,69,0.33343285701397074,2.938973325107196,-0.006197065507490662,-0.02653781077829409
Without trend,trend,77,0.32290717625658993,2.9925671031011274,0.004328615249890144,0.02705596721563719
Without acceleration,acceleration,81,0.3401493220454823,2.95568867512863,-0.012913530539002238,-0.009822460756859996
Without volatility,volatility,79,0.3303071888452678,2.970959965820078,-0.003071397338787696,0.005448829934587618
Without temporal,temporal,80,0.29293523003116806,3.03014208690965,0.03430056147531202,0.06463095102415961
Without historical,historical,81,0.3195963134995563,2.97614143526346,0.007639478006923772,0.010630299377969887
Without cross_resource,cross_resource,79,0.3237035444267832,2.967757298265948,0.003532247079696904,0.002246162380457939
Without cluster,cluster,84,0.3272357915064801,2.96551113588549,0.0,0.0
