container_id,start_idx,end_idx,n_points
bd_instance_1,0,689,689
bd_instance_10,689,1378,689
bd_instance_11,1378,2067,689
bd_instance_12,2067,2756,689
bd_instance_13,2756,3445,689
bd_instance_14,3445,4134,689
bd_instance_15,4134,4823,689
bd_instance_16,4823,5512,689
bd_instance_17,5512,6201,689
bd_instance_18,6201,6890,689
bd_instance_19,6890,7579,689
bd_instance_2,7579,8268,689
bd_instance_20,8268,8957,689
bd_instance_21,8957,9646,689
bd_instance_22,9646,10335,689
bd_instance_23,10335,11024,689
bd_instance_24,11024,11713,689
bd_instance_25,11713,12402,689
bd_instance_26,12402,13091,689
bd_instance_27,13091,13780,689
bd_instance_28,13780,14469,689
bd_instance_29,14469,15158,689
bd_instance_3,15158,15847,689
bd_instance_30,15847,16536,689
bd_instance_31,16536,17225,689
bd_instance_32,17225,17914,689
bd_instance_33,17914,18603,689
bd_instance_34,18603,19292,689
bd_instance_35,19292,19981,689
bd_instance_36,19981,20670,689
bd_instance_37,20670,21359,689
bd_instance_38,21359,22048,689
bd_instance_39,22048,22737,689
bd_instance_4,22737,23426,689
bd_instance_40,23426,24115,689
bd_instance_41,24115,24804,689
bd_instance_42,24804,25493,689
bd_instance_43,25493,26182,689
bd_instance_44,26182,26871,689
bd_instance_45,26871,27560,689
bd_instance_46,27560,28249,689
bd_instance_47,28249,28938,689
bd_instance_48,28938,29627,689
bd_instance_49,29627,30316,689
bd_instance_5,30316,31005,689
bd_instance_50,31005,31694,689
bd_instance_51,31694,32383,689
bd_instance_52,32383,33072,689
bd_instance_53,33072,33761,689
bd_instance_54,33761,34450,689
bd_instance_55,34450,35139,689
bd_instance_56,35139,35828,689
bd_instance_57,35828,36517,689
bd_instance_58,36517,37206,689
bd_instance_59,37206,37895,689
bd_instance_6,37895,38584,689
bd_instance_60,38584,39273,689
bd_instance_61,39273,39962,689
bd_instance_62,39962,40651,689
bd_instance_63,40651,41340,689
bd_instance_64,41340,42029,689
bd_instance_65,42029,42718,689
bd_instance_66,42718,43407,689
bd_instance_67,43407,44096,689
bd_instance_68,44096,44785,689
bd_instance_69,44785,45474,689
bd_instance_7,45474,46163,689
bd_instance_70,46163,46852,689
bd_instance_71,46852,47541,689
bd_instance_72,47541,48230,689
bd_instance_73,48230,48919,689
bd_instance_74,48919,49608,689
bd_instance_75,49608,50297,689
bd_instance_76,50297,50986,689
bd_instance_77,50986,51675,689
bd_instance_78,51675,52364,689
bd_instance_79,52364,53053,689
bd_instance_8,53053,53742,689
bd_instance_80,53742,54431,689
bd_instance_81,54431,55120,689
bd_instance_82,55120,55809,689
bd_instance_83,55809,56498,689
bd_instance_84,56498,57187,689
bd_instance_85,57187,57876,689
bd_instance_86,57876,58565,689
bd_instance_87,58565,59254,689
bd_instance_88,59254,59943,689
bd_instance_89,59943,60632,689
bd_instance_9,60632,61321,689
bd_instance_90,61321,62010,689
bd_instance_91,62010,62699,689
bd_instance_92,62699,63388,689
bd_instance_93,63388,64077,689
