Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.018630978555238764,1.1753189867866203,0.0,0.0
Without lag_immediate,lag_immediate,76,0.015062375072374179,1.1783043735624752,0.003568603482864585,0.0029853867758549146
Without lag_extended,lag_extended,75,0.01694555794795738,1.175077159246396,0.0016854206072813849,-0.000241827540224282
Without rolling_mean,rolling_mean,77,0.01862037969673913,1.1752877140693192,1.0598858499633046e-05,-3.12727173010785e-05
Without rolling_std,rolling_std,77,0.0165361926309725,1.1768123209684194,0.0020947859242662625,0.0014933341817990886
Without rolling_range,rolling_range,69,0.018233348640060765,1.1760744758413084,0.0003976299151779994,0.000755489054688141
Without trend,trend,77,0.018149110099930477,1.178238194362149,0.0004818684553082875,0.0029192075755286595
Without acceleration,acceleration,81,0.018353220961970673,1.17546933184314,0.0002777575932680909,0.000150345056519674
Without volatility,volatility,79,0.0160323484653927,1.178157728239539,0.0025986300898460657,0.002838741452918736
Without temporal,temporal,80,0.019172616661294883,1.1727486363452557,-0.0005416381060561193,-0.002570350441364555
Without historical,historical,81,0.01828591474356478,1.1741660381549774,0.0003450638116739846,-0.0011529486316428361
Without cross_resource,cross_resource,79,0.016476824651187605,1.1769885406012843,0.0021541539040511593,0.0016695538146640487
Without cluster,cluster,84,0.017851840205508007,1.1759905157172261,0.0007791383497307569,0.000671528930605847
