,naive,ets,arima,linear_reg,xgboost,lightgbm,extratrees,bilstm,homo_ensemble,hetero_ensemble
naive,0.0,-12.111323751626257,-10.97528661179818,-301.3038010732333,-160.06726105955164,33.63772502256837,-77.98770169436138,-93.2477477510876,-67.55734608190261,-66.76012299979762
ets,12.111323751626257,0.0,3.69068700983491,-248.89744495960394,-126.60615243721423,29.063581142935597,-67.50891969148464,-80.59628413650303,-57.17932967521015,-56.05618119887659
arima,10.97528661179818,-3.69068700983491,0.0,-250.96167639260526,-128.06684508169405,28.30335804906781,-68.18525989167614,-81.35464070717303,-57.87157275151295,-56.76875828476624
linear_reg,301.3038010732333,248.89744495960394,250.96167639260526,0.0,167.40933006514894,341.326023047287,150.02187647755972,159.0127206262574,181.98550222302956,198.03719681483167
xgboost,160.06726105955164,126.60615243721423,128.06684508169405,-167.40933006514894,0.0,176.96476034722986,26.237051476149386,15.187708571517357,47.80981196153058,52.647955337529964
lightgbm,-33.63772502256837,-29.063581142935597,-28.30335804906781,-341.326023047287,-176.96476034722986,0.0,-99.72092415509066,-118.77970449301006,-89.63594619331339,-89.91440449742707
extratrees,77.98770169436138,67.50891969148464,68.18525989167614,-150.02187647755972,-26.237051476149386,99.72092415509066,0.0,-17.557264791651754,40.25940135441136,45.68889004672372
bilstm,93.2477477510876,80.59628413650303,81.35464070717303,-159.0127206262574,-15.187708571517357,118.77970449301006,17.557264791651754,0.0,48.167752460811236,61.75052471376385
homo_ensemble,67.55734608190261,57.17932967521015,57.87157275151295,-181.98550222302956,-47.80981196153058,89.63594619331339,-40.25940135441136,-48.167752460811236,0.0,21.181320313518963
hetero_ensemble,66.76012299979762,56.05618119887659,56.76875828476624,-198.03719681483167,-52.647955337529964,89.91440449742707,-45.68889004672372,-61.75052471376385,-21.181320313518963,0.0
