,naive,ets,arima,linear_reg,xgboost,lightgbm,extratrees,bilstm,homo_ensemble,hetero_ensemble
naive,0.0,-19.010839706046024,,-454.28601891554547,-287.4325648739195,,-301.8294055633078,-317.48715126208094,-301.95555693768796,-323.04334665042524
ets,19.010839706046024,0.0,19.010839706046024,-366.61290512872256,-218.68675844803636,19.010839706046024,-253.74113989400038,-269.7727749001322,-253.96083929637717,-269.13167517968776
arima,,-19.010839706046024,0.0,-454.28601891554547,-287.4325648739195,,-301.8294055633078,-317.48715126208094,-301.95555693768796,-323.04334665042524
linear_reg,454.28601891554547,366.61290512872256,454.28601891554547,0.0,305.92428200029184,454.28601891554547,128.79228616700559,89.11020522843981,131.2828578554556,134.25165225511674
xgboost,287.4325648739195,218.68675844803636,287.4325648739195,-305.92428200029184,0.0,287.4325648739195,-145.43945205591044,-165.98277322119355,-148.06481225355083,-172.05589032682605
lightgbm,,-19.010839706046024,,-454.28601891554547,-287.4325648739195,0.0,-301.8294055633078,-317.48715126208094,-301.95555693768796,-323.04334665042524
extratrees,301.8294055633078,253.74113989400038,301.8294055633078,-128.79228616700559,145.43945205591044,301.8294055633078,0.0,-51.91165346681375,-2.405159565001011,-26.938706490180177
bilstm,317.48715126208094,269.7727749001322,317.48715126208094,-89.11020522843981,165.98277322119355,317.48715126208094,51.91165346681375,0.0,51.95815151222099,48.06173673556918
homo_ensemble,301.95555693768796,253.96083929637717,301.95555693768796,-131.2828578554556,148.06481225355083,301.95555693768796,2.405159565001011,-51.95815151222099,0.0,-40.12578065128553
hetero_ensemble,323.04334665042524,269.13167517968776,323.04334665042524,-134.25165225511674,172.05589032682605,323.04334665042524,26.938706490180177,-48.06173673556918,40.12578065128553,0.0
