horizon,alibaba_mi_median,alibaba_mi_mean,alibaba_mi_q25,alibaba_mi_q75,alibaba_n,bitbrains_mi_median,bitbrains_mi_mean,bitbrains_mi_q25,bitbrains_mi_q75,bitbrains_n,bytedance_mi_median,bytedance_mi_mean,bytedance_mi_q25,bytedance_mi_q75,bytedance_n
10min,0.5316058997366326,0.6123672053054288,0.17190924758124035,1.0314710224264587,500,1.3794663538666054,1.3074291863464425,1.0729701482222749,1.6209533003733196,156,0.24215078083113864,0.27986639094400817,0.12681431350519,0.3710873985967961,93
30min,0.3818937002911542,0.4971880385414958,0.06718904576901412,0.8874609646252243,500,1.1290755465973226,1.1137612241562092,0.9108032453415005,1.436886320108215,156,0.17324913531745065,0.216262261487145,0.08324875052187426,0.2830589544050857,93
60min,0.3488038028993795,0.4573394614590769,0.06028155486043548,0.8343553863863731,500,0.9209153873275069,0.958754517404291,0.7540377950094722,1.265924144567295,156,0.12466388089789053,0.16877386407060535,0.053610620257306486,0.2157570603807976,93
120min,0.3064729994488323,0.4165390646058418,0.048609539214638356,0.7516220260187121,500,0.7823141895908008,0.8037676766973433,0.5945141190699639,1.0736236361728615,156,0.06739024859056435,0.11714489560952325,0.026427941751238304,0.15192601347678023,93
