dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
Alibaba,10,naive,3,115.06694793701172,29.35382843017578,85.71311950683594,0.595158576965332,0.14118709827273365,0.14587806947019444,0.4275967478752136,0.439312219619751,0.0,0.0,1670443
Alibaba,10,hetero_ensemble,3,130.63933168830502,32.444834830760264,98.19449685754476,0.6757032869645688,0.39401943077375284,0.6059805692262472,0.48986255371352005,0.4855723127152532,-15.572383751293302,-13.533324756139104,1670443
Alibaba,10,homo_ensemble,3,129.4931200181188,32.12460665906696,97.36851335905183,0.6697747585260595,0.37419953868524697,0.6258004613147531,0.48574197263366603,0.48077974913042454,-14.426172081107069,-12.53719885662044,1670443
Alibaba,10,xgboost,3,124.55577087402344,31.77096176147461,92.78480529785156,0.6442374587059021,0.3197433255729169,0.6802560757834898,0.4628750681877136,0.4754871428012848,-9.488822937011719,-8.246350288391113,1670443
Alibaba,10,lightgbm,3,115.06695999999997,29.353839999999987,85.71311999999998,0.5951586102608707,0.14118709827273365,0.14587806947019444,0.42759675128094765,0.43931220640273266,-1.2062988247407702e-05,-1.0483451993539491e-05,1670443
Alibaba,10,extratrees,3,129.4436662706727,32.2499832077389,97.19368306293381,0.6695189698652466,0.37731428130142725,0.6226857186985728,0.4848697973278838,0.4826561458208824,-14.376718333660989,-12.494220618010033,1670443
Alibaba,10,bilstm,3,,,,,0.41848180392865847,0.5815104137046281,,,,,1670443
Alibaba,10,linear_reg,3,134.40403747558594,32.42499923706055,101.97904205322266,0.6951754093170166,0.47524758402411815,0.5247524159758818,0.5087427496910095,0.48527541756629944,-19.33708953857422,-16.805078506469727,1670443
Alibaba,10,naive,5,172.20904541015625,29.35382843017578,142.85520935058594,0.8907135725021362,0.14118709827273365,0.14587806947019444,0.4275967478752136,0.439312219619751,0.0,0.0,1670443
Alibaba,10,hetero_ensemble,5,196.10232959333487,32.444834830760264,163.6574947625746,1.0142962840913539,0.39401943077375284,0.6059805692262472,0.48986255371352005,0.4855723127152532,-23.893284183178622,-13.87458139975816,1670443
Alibaba,10,homo_ensemble,5,194.40546225748665,32.12460665906696,162.2808555984197,1.005519610010449,0.37419953868524697,0.6258004613147531,0.48574197263366603,0.48077974913042454,-22.196416847330397,-12.88922820195909,1670443
Alibaba,10,xgboost,5,186.4123077392578,31.77096176147461,154.64134216308594,0.9641767740249634,0.3197433255729169,0.6802560757834898,0.4628750681877136,0.4754871428012848,-14.203262329101562,-8.247686386108398,1670443
