container_id,mae_naive,mae_ensemble,n_timesteps,skill,ens_wins,horizon,acf_24h,acf_quartile
c_10032,0.1632653,0.21871745800253214,343,-0.3396444577136141,0,10min,0.3574415710125763,Q3
c_10036,1.7368422,1.9648545387645333,342,-0.13127985326223007,0,10min,0.5478422759731616,Q3
c_1005,1.0612245,1.1833662328965624,343,-0.11509513475169121,0,10min,0.7221142427312066,Q4 (high)
c_10065,0.12536444,0.1481541437917945,343,-0.18178764656638002,0,10min,0.2087434051564973,Q2
c_10076,1.6183432,1.7558771820250418,338,-0.08498441187758654,0,10min,0.4487422456305042,Q3
c_10082,3.037901,3.3699020671396815,343,-0.109286362751198,0,10min,-0.0368180197105087,Q1 (low)
c_10104,1.2344214,1.417161434861059,337,-0.14803702085141027,0,10min,0.907364072965562,Q4 (high)
c_10105,0.4281525,0.4648907291096774,341,-0.08580640634058646,0,10min,0.084334219919596,Q2
c_10109,0.7748538,0.8349770689623075,342,-0.07759301355838617,0,10min,0.7724150326178266,Q4 (high)
c_10137,0.9650146,1.0794270139166493,343,-0.11856031995998034,0,10min,0.0274995453843256,Q1 (low)
c_1017,0.3044776,0.35146646632122397,335,-0.15432617615082864,0,10min,0.0103644541308301,Q1 (low)
c_10175,1.8436579,2.0357708008893365,339,-0.10420206197322267,0,10min,-0.0679082242125149,Q1 (low)
c_10188,1.1169591,1.458596490622577,342,-0.3058638379420537,0,10min,0.764256348414268,Q4 (high)
c_10203,0.8011869,0.8729882045496093,337,-0.08961864405856369,0,10min,0.4271828861274846,Q3
c_10214,0.51132685,0.6040491085426525,309,-0.1813365740130081,0,10min,0.215592096906466,Q2
c_10215,5.0755816,5.592928389963921,344,-0.10192858379052322,0,10min,0.1961750270034958,Q2
c_1024,1.304878,1.4148304681021746,328,-0.08426264521054938,0,10min,0.3302851805921845,Q3
c_10241,0.6666667,0.7253284648465739,342,-0.08799266484515265,0,10min,0.7326537993840476,Q4 (high)
c_10249,0.82492584,0.9306861536372419,337,-0.12820584423560746,0,10min,-0.0737969619139364,Q1 (low)
c_10256,0.8352941,1.0001178135423225,340,-0.1973241289010184,0,10min,0.7675157682684265,Q4 (high)
c_10260,0.33527696,0.38710219527240225,343,-0.1545743964653726,0,10min,-0.0498284166463776,Q1 (low)
c_10261,0.11111111,0.1391650245520068,342,-0.2524852116363192,0,10min,0.0893054620003095,Q2
c_10264,0.22713864,0.27145895626099853,339,-0.19512451979984138,0,10min,0.2326457333288806,Q2
c_10267,1.4064327,1.5396559055118253,342,-0.09472415789198925,0,10min,0.3517589237525046,Q3
c_10318,1.3527697,1.451066450292621,343,-0.0726633036337072,0,10min,-0.0466709096962379,Q1 (low)
c_10326,0.27859238,0.3154983749841497,341,-0.13247310411405802,0,10min,,
c_10335,1.4402332,1.5800555967761152,343,-0.09708314126867922,0,10min,0.4357666208468958,Q3
c_10351,0.25146198,0.2970366753740918,342,-0.18123889803457893,0,10min,-0.0877460113739602,Q1 (low)
c_10355,0.7477745,0.8308592000326894,337,-0.11110932545100269,0,10min,0.7667590846963528,Q4 (high)
c_10412,1.6569767,1.8422063011760208,344,-0.11178769222646497,0,10min,0.8525034978549533,Q4 (high)
c_10415,0.17492712,0.22730970344437618,343,-0.2994537917814369,0,10min,0.0043119378435156,Q1 (low)
c_10417,0.5218659,0.5846044021939786,343,-0.12021957622077895,0,10min,-0.0224035231959757,Q1 (low)
c_10429,0.9152047,1.0088349413959163,342,-0.10230524078222553,0,10min,-0.0011169256834168,Q1 (low)
c_10435,0.30769232,0.3523553316230771,338,-0.1451547851146604,0,10min,0.0634704624175763,Q2
c_10439,0.49853373,0.5366305559840536,341,-0.07641775927815471,0,10min,0.7135628458549002,Q3
c_10441,0.77286136,0.8724423881147578,339,-0.12884720542559142,0,10min,0.913846013539248,Q4 (high)
c_10452,0.09356725,0.12613056203805695,342,-0.3480203717381992,0,10min,0.2226962228404323,Q2
c_10457,0.9494048,1.0773708869218706,336,-0.1347856194190251,0,10min,0.9246129232554212,Q4 (high)
c_10467,1.2244898,1.2989855227168297,343,-0.06083816634693054,0,10min,0.8977754187462204,Q4 (high)
c_10483,0.0,0.02197242651873547,342,0.0,0,10min,,
c_10518,0.5555556,0.6371264688863276,342,-0.14682758931038886,0,10min,0.8519774981876961,Q4 (high)
c_10527,0.83965015,0.9082378450476051,343,-0.08168603387708324,0,10min,0.6068999220564105,Q3
c_10587,0.1382353,0.1732315060869812,340,-0.25316402619545825,0,10min,0.0009761237943721,Q1 (low)
c_10588,1.260997,1.4560098307900786,341,-0.15464966611340883,0,10min,0.8489377760865285,Q4 (high)
c_1060,0.8279883,1.0272022687228606,343,-0.24059994058553147,0,10min,0.686593857938448,Q3
c_10603,1.071006,1.1905797928184962,338,-0.11164630173045963,0,10min,0.8875859582102409,Q4 (high)
c_10605,1.8596492,2.1408753446373887,342,-0.15122538492171575,0,10min,0.1116860054484686,Q2
c_10619,1.0798817,1.2218517168913086,338,-0.1314681534056269,0,10min,0.7803320671167995,Q4 (high)
c_10620,0.40233237,0.4772122758338955,343,-0.18611455786212766,0,10min,-0.0685510356623688,Q1 (low)
c_10632,0.8716418,0.9696068535913406,335,-0.11239139429694453,0,10min,0.8718448464634787,Q4 (high)
c_10654,1.313783,1.4956487662761895,341,-0.1384290326705152,0,10min,0.3615437453650894,Q3
c_10663,0.6334311,0.7054490567224478,341,-0.11369505275879177,0,10min,-0.0319323538631754,Q1 (low)
c_10672,1.6467066,1.817484647340338,334,-0.1037088623942373,0,10min,0.1149826845660963,Q2
c_10677,0.4385965,0.4921176164770786,342,-0.1220281762682337,0,10min,0.0786192586725077,Q2
c_10684,0.96793,1.0585344222702915,343,-0.09360635748363574,0,10min,0.8178381128397451,Q4 (high)
c_10704,1.7667638,1.8993013836843071,343,-0.07501714539622606,0,10min,0.7798399689272386,Q4 (high)
c_10728,1.0479041,1.1547344190454605,334,-0.10194662069106329,0,10min,0.1859091335718031,Q2
c_10749,0.023391813,0.03875626281454885,342,-0.6568302229776163,0,10min,0.0205467278824002,Q1 (low)
