,naive,ets,arima,linear_reg,xgboost,lightgbm,extratrees,bilstm,homo_ensemble,hetero_ensemble
naive,0.0,-6.612493001727651,-2.5194620047210465,-119.23408772488922,-46.330281552629145,240.79304145434102,176.542009362746,176.39487196957413,188.37802295312608,201.16925441615692
ets,6.612493001727651,0.0,8.256524405921725,-113.85520688861716,-43.31126248324484,236.47835069974147,175.3499704530421,174.98723640439115,186.96488676294257,199.4777803158667
arima,2.5194620047210465,-8.256524405921725,0.0,-115.513257024095,-44.584900007444105,236.43480781072014,175.00516904643868,174.68221586303363,186.63995611295798,199.18008295171586
linear_reg,119.23408772488922,113.85520688861716,115.513257024095,0.0,69.58938562886685,390.75809790377554,298.92500103075764,304.53491331974516,314.1390193008312,337.5734362486949
xgboost,46.330281552629145,43.31126248324484,44.584900007444105,-69.58938562886685,0.0,268.54753173687624,224.0604213928968,222.9588037374025,237.0374719280121,252.71435366973637
lightgbm,-240.79304145434102,-236.47835069974147,-236.43480781072014,-390.75809790377554,-268.54753173687624,0.0,-0.23516762242156675,-15.609679589199883,16.92860646450618,36.116530491228026
extratrees,-176.542009362746,-175.3499704530421,-175.00516904643868,-298.92500103075764,-224.0604213928968,0.23516762242156675,0.0,-16.40093090436709,36.99280309840795,65.94567671273894
bilstm,-176.39487196957413,-174.98723640439115,-174.68221586303363,-304.53491331974516,-222.9588037374025,15.609679589199883,16.40093090436709,0.0,34.143198501899114,58.23231431885552
homo_ensemble,-188.37802295312608,-186.96488676294257,-186.63995611295798,-314.1390193008312,-237.0374719280121,-16.92860646450618,-36.99280309840795,-34.143198501899114,0.0,69.38547415278894
hetero_ensemble,-201.16925441615692,-199.4777803158667,-199.18008295171586,-337.5734362486949,-252.71435366973637,-36.116530491228026,-65.94567671273894,-58.23231431885552,-69.38547415278894,0.0
