Horizon,Naive R²,ETS R²,ARIMA R²,LinReg R²,XGB R²,LGB R²,ET R²,BiLSTM R²,Homo Ens R²,Hetero Ens R²,Δpp (Hetero vs Naive)
10min,0.9187769889831544,,,0.9205512404441832,0.9203237295150756,0.918776987830391,0.9212260873950906,0.9212377667427064,0.921268120926448,0.9212949025474896,0.2518
30min,0.8361119031906128,,,0.8374451398849487,0.8374674916267395,0.8372207819672912,0.8402102307139399,0.8397150635719299,0.8404130309195035,0.8404110920983923,0.4299
60min,0.7877774238586426,,,0.7924906015396118,0.7916576862335205,0.7971904249636156,0.7997490267692924,0.7978888154029846,0.8007166957572147,0.8010635353401974,1.3286
120min,0.7178423404693604,,,0.7318057417869568,0.7274041771888733,0.7544563530765638,0.7623611409533233,0.7597275972366333,0.7630493592250883,0.7642187940195384,4.6376
