acf_threshold,n_correct,n_total,accuracy,binomial_p
0.1,8,12,0.6666666666666666,0.19384765625
0.15,9,12,0.75,0.072998046875
0.2,9,12,0.75,0.072998046875
0.25,9,12,0.75,0.072998046875
0.3,9,12,0.75,0.072998046875
