target_util,tolerance,reaction_lag,violation_rate,waste_rate,waste_cost_ph,viol_cost_ph,total_cost_ph
0.3,0.05,1,0.05672,0.6633174535329098,0.033165872676645496,0.02836,0.0615258726766455
0.3,0.05,2,0.07508,0.6690319501744655,0.03345159750872328,0.03754,0.07099159750872328
0.3,0.05,3,0.09254,0.6747943075620674,0.03373971537810337,0.04627,0.08000971537810336
0.3,0.1,1,0.0569,0.6621819498158276,0.03310909749079138,0.02845,0.06155909749079137
0.3,0.1,2,0.07534,0.667918908328483,0.03339594541642415,0.03767,0.07106594541642415
0.3,0.1,3,0.09278,0.6737212706061524,0.03368606353030762,0.04639,0.08007606353030762
0.3,0.15,1,0.05718,0.6616556254089623,0.033082781270448114,0.02859,0.06167278127044812
0.3,0.15,2,0.0757,0.6674117604518265,0.033370588022591324,0.03785,0.07122058802259132
0.3,0.15,3,0.09294,0.6732490680262601,0.033662453401313006,0.04647,0.080132453401313
0.3,0.2,1,0.05734,0.6610489011377534,0.03305244505688767,0.02867,0.06172244505688767
0.3,0.2,2,0.07574,0.6668471042382278,0.03334235521191139,0.03787,0.07121235521191138
0.3,0.2,3,0.09308,0.6727419661035842,0.03363709830517921,0.04654,0.08017709830517922
0.35,0.05,1,0.0642,0.6397604653798434,0.03198802326899217,0.0321,0.06408802326899217
0.35,0.05,2,0.08512,0.6468477698009089,0.03234238849004544,0.04256,0.07490238849004544
0.35,0.05,3,0.10418,0.6537494817965183,0.03268747408982591,0.05209,0.08477747408982592
0.35,0.1,1,0.06468,0.6386848371813258,0.03193424185906629,0.03234,0.0642742418590663
0.35,0.1,2,0.08552,0.6457103975479115,0.03228551987739558,0.04276,0.07504551987739558
0.35,0.1,3,0.10452,0.6526960129696504,0.03263480064848252,0.05226,0.08489480064848252
0.35,0.15,1,0.06522,0.6378600097594165,0.03189300048797083,0.03261,0.06450300048797084
0.35,0.15,2,0.08588,0.6449052816196157,0.03224526408098079,0.04294,0.07518526408098078
0.35,0.15,3,0.10504,0.6519086357360643,0.032595431786803214,0.05252,0.08511543178680321
0.35,0.2,1,0.06562,0.6375430567626571,0.031877152838132854,0.03281,0.06468715283813285
0.35,0.2,2,0.08638,0.6446366316940269,0.032231831584701345,0.04319,0.07542183158470134
0.35,0.2,3,0.10552,0.6517438169462433,0.03258719084731217,0.05276,0.08534719084731217
0.4,0.05,1,0.07428,0.6172746673627334,0.03086373336813667,0.03714,0.06800373336813667
0.4,0.05,2,0.09732,0.6256471312294924,0.03128235656147462,0.04866,0.07994235656147462
0.4,0.05,3,0.11828,0.6337632698805741,0.031688163494028705,0.05914,0.0908281634940287
0.4,0.1,1,0.0744,0.6154804022765556,0.030774020113827783,0.0372,0.06797402011382778
0.4,0.1,2,0.09762,0.6239002329614589,0.031195011648072948,0.04881,0.08000501164807294
