Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.004840457315373747,18.10384444802201,0.0,0.0
Without lag_immediate,lag_immediate,73,0.003621943999196575,18.072963595693587,0.0012185133161771722,-0.030880852328422748
Without lag_extended,lag_extended,73,0.0022052899794867686,18.082925937368852,0.0026351673358869787,-0.020918510653157085
Without rolling_mean,rolling_mean,73,0.0013197716260749948,18.097289629578917,0.0035206856892987526,-0.006554818443092358
Without rolling_std,rolling_std,73,0.008731974509814222,18.13156229074025,-0.0038915171944404747,0.027717842718239183
Without rolling_range,rolling_range,65,0.0028398255910935255,18.082045008270672,0.002000631724280222,-0.021799439751337246
Without trend,trend,73,0.004831343373474795,18.125003936397462,9.11394189895276e-06,0.021159488375452895
Without acceleration,acceleration,77,0.0008626534004262387,18.101800827780714,0.003977803914947509,-0.00204362024129523
Without volatility,volatility,75,0.006912275042560312,18.053395799360178,-0.0020718177271865645,-0.050448648661831186
Without temporal,temporal,76,0.007075316117238217,18.06812477428688,-0.00223485880186447,-0.035719673735130186
Without historical,historical,77,0.0008585258531765838,18.10676810635685,0.0039819314621971635,0.0029236583348399847
Without cross_resource,cross_resource,75,0.0013600098217126932,18.096109008808117,0.003480447493661054,-0.007735439213892192
