Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.017839514036675497,7.453149221103256,0.0,0.0
Without lag_immediate,lag_immediate,73,0.012503216060189448,7.468939096175723,0.0053362979764860485,0.015789875072466764
Without lag_extended,lag_extended,73,0.017684052772912073,7.445449899981672,0.0001554612637634234,-0.007699321121584113
Without rolling_mean,rolling_mean,73,0.01623433816517661,7.436329001630342,0.0016051758714988873,-0.016820219472914566
Without rolling_std,rolling_std,73,0.01581776360831255,7.466870395139159,0.002021750428362945,0.01372117403590245
Without rolling_range,rolling_range,65,0.0166235468712167,7.457408567034179,0.0012159671654587978,0.004259345930922365
Without trend,trend,73,0.017201627134115216,7.459733342705366,0.0006378869025602807,0.00658412160210986
Without acceleration,acceleration,77,0.01613317312398277,7.465903802059168,0.0017063409126927276,0.012754580955911976
Without volatility,volatility,75,0.014118396873987749,7.456733081925111,0.003721117162687748,0.0035838608218545787
Without temporal,temporal,76,0.020328609728568536,7.435783929467603,-0.0024890956918930396,-0.017365291635653257
Without historical,historical,77,0.01662643064973901,7.506707279555526,0.0012130833869364865,0.053558058452269464
Without cross_resource,cross_resource,75,0.01644069616863375,7.460350439895028,0.0013988178680417462,0.007201218791771602
