container_id,start_idx,end_idx,n_points
c_10032,0,343,343
c_10036,343,685,342
c_1005,685,1028,343
c_10065,1028,1371,343
c_10076,1371,1709,338
c_10082,1709,2052,343
c_10104,2052,2389,337
c_10105,2389,2730,341
c_10109,2730,3072,342
c_10137,3072,3415,343
c_1017,3415,3750,335
c_10175,3750,4089,339
c_10188,4089,4431,342
c_10203,4431,4768,337
c_10214,4768,5077,309
c_10215,5077,5421,344
c_1024,5421,5749,328
c_10241,5749,6091,342
c_10249,6091,6428,337
c_10256,6428,6768,340
c_10260,6768,7111,343
c_10261,7111,7453,342
c_10264,7453,7792,339
c_10267,7792,8134,342
c_10318,8134,8477,343
c_10326,8477,8818,341
c_10335,8818,9161,343
c_10351,9161,9503,342
c_10355,9503,9840,337
c_10412,9840,10184,344
c_10415,10184,10527,343
c_10417,10527,10870,343
c_10429,10870,11212,342
c_10435,11212,11550,338
c_10439,11550,11891,341
c_10441,11891,12230,339
c_10452,12230,12572,342
c_10457,12572,12908,336
c_10459,12908,13252,344
c_10467,13252,13595,343
c_10483,13595,13937,342
c_10518,13937,14279,342
c_10527,14279,14622,343
c_10587,14622,14962,340
c_10588,14962,15303,341
c_1060,15303,15646,343
c_10603,15646,15984,338
c_10605,15984,16326,342
c_10619,16326,16664,338
c_10620,16664,17007,343
c_10632,17007,17342,335
c_10654,17342,17683,341
c_10663,17683,18024,341
c_10672,18024,18358,334
c_10677,18358,18700,342
c_10684,18700,19043,343
c_10704,19043,19386,343
c_10728,19386,19720,334
c_10749,19720,20062,342
c_10775,20062,20398,336
c_10810,20398,20741,343
c_10813,20741,21080,339
c_10816,21080,21422,342
c_10821,21422,21760,338
c_10822,21760,22103,343
c_10824,22103,22447,344
c_10838,22447,22775,328
c_10844,22775,23108,333
c_10854,23108,23450,342
c_10870,23450,23792,342
c_10875,23792,24136,344
c_10903,24136,24476,340
c_1091,24476,24815,339
c_10910,24815,25158,343
c_10929,25158,25501,343
c_10950,25501,25843,342
c_10965,25843,26184,341
c_10968,26184,26526,342
c_10987,26526,26864,338
c_10995,26864,27206,342
c_10999,27206,27546,340
c_11007,27546,27889,343
c_11015,27889,28229,340
c_11019,28229,28573,344
c_11059,28573,28917,344
c_1108,28917,29257,340
c_11113,29257,29600,343
c_11124,29600,29944,344
c_11125,29944,30283,339
c_11133,30283,30625,342
c_11138,30625,30960,335
c_1114,30960,31299,339
c_11178,31299,31639,340
c_11179,31639,31974,335
c_11203,31974,32316,342
c_11210,32316,32658,342
c_11227,32658,32999,341
c_11240,32999,33339,340
c_11243,33339,33681,342
c_11245,33681,34020,339
c_11250,34020,34363,343
c_11264,34363,34702,339
c_11271,34702,35044,342
c_11277,35044,35387,343
c_11286,35387,35730,343
c_11337,35730,36071,341
c_11349,36071,36394,323
c_11359,36394,36734,340
c_1137,36734,37077,343
c_11380,37077,37420,343
c_11418,37420,37761,341
c_11430,37761,38104,343
c_11433,38104,38439,335
c_1144,38439,38782,343
c_11450,38782,39124,342
c_11455,39124,39467,343
c_11459,39467,39809,342
c_11473,39809,40150,341
c_11502,40150,40494,344
c_11505,40494,40834,340
c_11517,40834,41176,342
c_11523,41176,41510,334
c_11532,41510,41851,341
c_11533,41851,42193,342
c_11539,42193,42533,340
c_11540,42533,42876,343
c_11550,42876,43211,335
c_11555,43211,43553,342
c_11564,43553,43894,341
c_11567,43894,44237,343
c_11585,44237,44578,341
c_11589,44578,44921,343
c_11591,44921,45264,343
c_11601,45264,45606,342
c_11624,45606,45946,340
c_1163,45946,46281,335
c_11634,46281,46622,341
c_11642,46622,46955,333
c_11655,46955,47296,341
c_1166,47296,47639,343
c_11680,47639,47979,340
c_11687,47979,48316,337
c_11730,48316,48658,342
c_11732,48658,49001,343
c_11737,49001,49338,337
c_11739,49338,49675,337
c_11751,49675,50014,339
c_11759,50014,50355,341
c_1177,50355,50696,341
c_11781,50696,51039,343
c_11787,51039,51376,337
c_11802,51376,51716,340
c_11809,51716,52059,343
c_11812,52059,52402,343
c_11820,52402,52742,340
c_11821,52742,53085,343
c_11843,53085,53428,343
c_11857,53428,53767,339
c_11864,53767,54104,337
c_11889,54104,54446,342
c_11917,54446,54787,341
c_1194,54787,55129,342
c_1195,55129,55465,336
c_11985,55465,55796,331
c_11999,55796,56139,343
c_12,56139,56482,343
c_12008,56482,56825,343
c_1203,56825,57167,342
c_12035,57167,57510,343
c_12074,57510,57848,338
c_12078,57848,58191,343
c_12084,58191,58533,342
c_12111,58533,58862,329
c_1214,58862,59204,342
c_12141,59204,59544,340
c_12176,59544,59882,338
c_12183,59882,60224,342
c_12209,60224,60567,343
