Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.00370320844317773,6.404783845538471,0.0,0.0
Without lag_immediate,lag_immediate,73,0.0016109582690623236,6.4072397031418795,0.0020922501741154065,0.0024558576034081625
Without lag_extended,lag_extended,73,0.001913986831280523,6.409299505560088,0.001789221611897207,0.004515660021616519
Without rolling_mean,rolling_mean,73,0.0022603067397855003,6.409613399704349,0.0014429017033922298,0.004829554165877603
Without rolling_std,rolling_std,73,0.0014171798834109461,6.410006577816317,0.002286028559766784,0.00522273227784531
Without rolling_range,rolling_range,65,0.0005938650458466865,6.412926574252543,0.0031093433973310436,0.008142728714071623
Without trend,trend,73,0.0017445547781410609,6.410866531427115,0.0019586536650366693,0.006082685888643802
Without acceleration,acceleration,77,0.0012616532761562382,6.410397659845255,0.002441555167021492,0.005613814306783205
Without volatility,volatility,75,0.0013387071478095924,6.410786713777778,0.0023645012953681377,0.006002868239306736
Without temporal,temporal,76,0.0022368292699624925,6.408067496837934,0.0014663791732152376,0.003283651299462953
Without historical,historical,77,0.0006984768192137558,6.412381296648347,0.0030047316239639743,0.007597451109875308
Without cross_resource,cross_resource,75,0.0019131470660057603,6.408037733765434,0.0017900613771719698,0.003253888226963042
