container_id,n_points,et_r2,naive_r2,et_minus_naive_pp,note,horizon
c_10032,343,0.7682725671973767,0.7671765685081482,0.10959986892284945,,10min
c_10036,342,0.7995081511835314,0.7923454642295837,0.7162686953947617,,10min
c_1005,343,0.7262964012687699,0.718612790107727,0.768361116104288,,10min
c_10065,343,0.502250776474271,0.4978209137916565,0.44298626826144716,,10min
c_10076,338,-0.1479510248115583,-0.16895723342895508,2.100620861739677,,10min
c_10082,343,0.32193175403343766,0.29215502738952637,2.977672664391129,,10min
c_10104,337,0.8747587604307709,0.8695148825645447,0.5243877866226265,,10min
c_10105,341,0.15514726045346217,0.13782000541687012,1.7327255036592049,,10min
c_10109,342,0.8756265277066364,0.8708959817886353,0.473054591800115,,10min
c_10137,343,0.3957195446684447,0.342815101146698,5.2904443521746725,,10min
c_1017,335,0.46546532305612454,0.44641655683517456,1.9048766220949975,,10min
c_10175,339,0.13624403235851734,0.13729745149612427,-0.10534191376069257,,10min
c_10188,342,0.9370078746363953,0.9372848868370056,-0.027701220061027154,,10min
c_10203,337,0.7520345948991658,0.7457150220870972,0.631957281206863,,10min
c_10214,309,0.9490647658295707,0.9465720057487488,0.24927600808218875,,10min
c_10215,344,0.4232003185081056,0.4002181887626648,2.2982129745440782,,10min
c_1024,328,0.33733890512132325,0.309401273727417,2.793763139390626,,10min
c_10241,342,0.9081788777855617,0.9030705690383911,0.5108308747170609,,10min
c_10249,337,0.6424536517373302,0.6319479942321777,1.0505657505152421,,10min
c_10256,340,0.8787199311478358,0.8762444853782654,0.24754457695703724,,10min
c_10260,343,0.3225773786890085,0.29613012075424194,2.6447257934766544,,10min
c_10261,342,0.3481752085324792,0.338188111782074,0.9987096750405211,,10min
c_10264,339,0.8184358399939797,0.8153242468833923,0.3111593110587396,,10min
c_10267,342,0.7138204091244371,0.7101753354072571,0.3645073717180036,,10min
c_10318,343,0.13814019172007252,0.10820072889328003,2.9939462826792496,,10min
c_10326,341,-0.002004970773164194,-0.024048566818237305,2.204359604507311,,10min
c_10335,343,0.907952054682474,0.9061592817306519,0.17927729518221192,,10min
c_10351,342,0.16152396724231444,0.14197874069213867,1.9545226550175765,,10min
c_10355,337,0.9736123243526092,0.969523549079895,0.4088775272714229,,10min
c_10412,344,0.8293322275159399,0.8170987367630005,1.2233490752939447,,10min
c_10415,343,0.4494414729991778,0.43249112367630005,1.6950349322877756,,10min
c_10417,343,0.14113491177228932,0.11965906620025635,2.147584557203297,,10min
c_10429,342,0.03835665332684335,0.012525677680969238,2.583097564587411,,10min
