Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.26480193998258816,2.7405909174929985,0.0,0.0
Without lag_immediate,lag_immediate,76,0.27604410278050484,2.7257918745456426,-0.011242162797916677,-0.0147990429473559
Without lag_extended,lag_extended,75,0.2766460415863602,2.729278644344342,-0.011844101603772028,-0.011312273148656349
Without rolling_mean,rolling_mean,77,0.30462290372327905,2.694100565403836,-0.039820963740690885,-0.046490352089162634
Without rolling_std,rolling_std,77,0.3176623432616845,2.6544184518165004,-0.05286040327909636,-0.08617246567649817
Without rolling_range,rolling_range,69,0.36382340880715536,2.547300225198153,-0.0990214688245672,-0.19329069229484563
Without trend,trend,77,0.24674922154937362,2.8210157234084314,0.018052718433214543,0.08042480591543288
Without acceleration,acceleration,81,0.2825528843926348,2.748824080773984,-0.017750944410046654,0.008233163280985334
Without volatility,volatility,79,0.32740322937089095,2.5952779307763625,-0.06260128938830278,-0.14531298671663606
Without temporal,temporal,80,0.3514327283419729,2.5906771870772385,-0.08663078835938476,-0.14991373041576006
Without historical,historical,81,0.3553092005992805,2.58103054145581,-0.09050726061669234,-0.15956037603718842
Without cross_resource,cross_resource,79,0.3745320829190989,2.540700356838535,-0.10973014293651073,-0.19989056065446364
Without cluster,cluster,84,0.26480193998258816,2.7405909174929985,0.0,0.0
