container_id,start_idx,end_idx,n_points
c_10032,0,339,339
c_10036,339,677,338
c_1005,677,1016,339
c_10065,1016,1355,339
c_10076,1355,1689,334
c_10082,1689,2028,339
c_10104,2028,2361,333
c_10105,2361,2698,337
c_10109,2698,3036,338
c_10137,3036,3375,339
c_1017,3375,3706,331
c_10175,3706,4041,335
c_10188,4041,4379,338
c_10203,4379,4712,333
c_10214,4712,5017,305
c_10215,5017,5357,340
c_1024,5357,5681,324
c_10241,5681,6019,338
c_10249,6019,6352,333
c_10256,6352,6688,336
c_10260,6688,7027,339
c_10261,7027,7365,338
c_10264,7365,7700,335
c_10267,7700,8038,338
c_10318,8038,8377,339
c_10326,8377,8714,337
c_10335,8714,9053,339
c_10351,9053,9391,338
c_10355,9391,9724,333
c_10412,9724,10064,340
c_10415,10064,10403,339
c_10417,10403,10742,339
c_10429,10742,11080,338
c_10435,11080,11414,334
c_10439,11414,11751,337
c_10441,11751,12086,335
c_10452,12086,12424,338
c_10457,12424,12756,332
c_10459,12756,13096,340
c_10467,13096,13435,339
c_10483,13435,13773,338
c_10518,13773,14111,338
c_10527,14111,14450,339
c_10587,14450,14786,336
c_10588,14786,15123,337
c_1060,15123,15462,339
c_10603,15462,15796,334
c_10605,15796,16134,338
c_10619,16134,16468,334
c_10620,16468,16807,339
c_10632,16807,17138,331
c_10654,17138,17475,337
c_10663,17475,17812,337
c_10672,17812,18142,330
c_10677,18142,18480,338
c_10684,18480,18819,339
c_10704,18819,19158,339
c_10728,19158,19488,330
c_10749,19488,19826,338
c_10775,19826,20158,332
c_10810,20158,20497,339
c_10813,20497,20832,335
c_10816,20832,21170,338
c_10821,21170,21504,334
c_10822,21504,21843,339
c_10824,21843,22183,340
c_10838,22183,22507,324
c_10844,22507,22836,329
c_10854,22836,23174,338
c_10870,23174,23512,338
c_10875,23512,23852,340
c_10903,23852,24188,336
c_1091,24188,24523,335
c_10910,24523,24862,339
c_10929,24862,25201,339
c_10950,25201,25539,338
c_10965,25539,25876,337
c_10968,25876,26214,338
c_10987,26214,26548,334
c_10995,26548,26886,338
c_10999,26886,27222,336
c_11007,27222,27561,339
c_11015,27561,27897,336
c_11019,27897,28237,340
c_11059,28237,28577,340
c_1108,28577,28913,336
c_11113,28913,29252,339
c_11124,29252,29592,340
c_11125,29592,29927,335
c_11133,29927,30265,338
c_11138,30265,30596,331
c_1114,30596,30931,335
c_11178,30931,31267,336
c_11179,31267,31598,331
c_11203,31598,31936,338
c_11210,31936,32274,338
c_11227,32274,32611,337
c_11240,32611,32947,336
c_11243,32947,33285,338
c_11245,33285,33620,335
c_11250,33620,33959,339
c_11264,33959,34294,335
c_11271,34294,34632,338
c_11277,34632,34971,339
c_11286,34971,35310,339
c_11337,35310,35647,337
c_11349,35647,35966,319
c_11359,35966,36302,336
c_1137,36302,36641,339
c_11380,36641,36980,339
c_11418,36980,37317,337
c_11430,37317,37656,339
c_11433,37656,37987,331
c_1144,37987,38326,339
c_11450,38326,38664,338
c_11455,38664,39003,339
c_11459,39003,39341,338
c_11473,39341,39678,337
c_11502,39678,40018,340
c_11505,40018,40354,336
c_11517,40354,40692,338
c_11523,40692,41022,330
c_11532,41022,41359,337
c_11533,41359,41697,338
c_11539,41697,42033,336
c_11540,42033,42372,339
c_11550,42372,42703,331
c_11555,42703,43041,338
c_11564,43041,43378,337
c_11567,43378,43717,339
c_11585,43717,44054,337
c_11589,44054,44393,339
c_11591,44393,44732,339
c_11601,44732,45070,338
c_11624,45070,45406,336
c_1163,45406,45737,331
c_11634,45737,46074,337
c_11642,46074,46403,329
c_11655,46403,46740,337
c_1166,46740,47079,339
c_11680,47079,47415,336
c_11687,47415,47748,333
c_11730,47748,48086,338
c_11732,48086,48425,339
