Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.019313742777633203,5.99696511616636,0.0,0.0
Without lag_immediate,lag_immediate,73,0.015656230921564984,5.963833981107446,0.0036575118560682185,-0.033131135058914296
Without lag_extended,lag_extended,73,0.017724202410210554,5.972407843711974,0.0015895403674226483,-0.02455727245438677
Without rolling_mean,rolling_mean,73,0.018330136452340606,5.96390448971183,0.0009836063252925964,-0.033060626454530784
Without rolling_std,rolling_std,73,0.01586089981512928,5.974023836773332,0.0034528429625039214,-0.022941279393028147
Without rolling_range,rolling_range,65,0.014101880738047967,5.991315373187469,0.0052118620395852355,-0.005649742978891759
Without trend,trend,73,0.019621190253439558,5.960034049707665,-0.000307447475806355,-0.03693106645869548
Without acceleration,acceleration,77,0.01900719200924228,5.986783960059436,0.000306550768390923,-0.01018115610692405
Without volatility,volatility,75,0.017036925989069474,5.979896115050769,0.002276816788563729,-0.017069001115591398
Without temporal,temporal,76,0.01519971966881184,5.993993962828019,0.004114023108821363,-0.0029711533383416366
Without historical,historical,77,0.014354993232753577,5.965953097071321,0.004958749544879626,-0.03101201909503981
Without cross_resource,cross_resource,75,0.01997376903077408,5.955575872941631,-0.0006600262531408774,-0.04138924322472981
