container_id,start_idx,end_idx,n_points
bd_instance_1,0,680,680
bd_instance_10,680,1360,680
bd_instance_11,1360,2040,680
bd_instance_12,2040,2720,680
bd_instance_13,2720,3400,680
bd_instance_14,3400,4080,680
bd_instance_15,4080,4760,680
bd_instance_16,4760,5440,680
bd_instance_17,5440,6120,680
bd_instance_18,6120,6800,680
bd_instance_19,6800,7480,680
bd_instance_2,7480,8160,680
bd_instance_20,8160,8840,680
bd_instance_21,8840,9520,680
bd_instance_22,9520,10200,680
bd_instance_23,10200,10880,680
bd_instance_24,10880,11560,680
bd_instance_25,11560,12240,680
bd_instance_26,12240,12920,680
bd_instance_27,12920,13600,680
bd_instance_28,13600,14280,680
bd_instance_29,14280,14960,680
bd_instance_3,14960,15640,680
bd_instance_30,15640,16320,680
bd_instance_31,16320,17000,680
bd_instance_32,17000,17680,680
bd_instance_33,17680,18360,680
bd_instance_34,18360,19040,680
bd_instance_35,19040,19720,680
bd_instance_36,19720,20400,680
bd_instance_37,20400,21080,680
bd_instance_38,21080,21760,680
bd_instance_39,21760,22440,680
bd_instance_4,22440,23120,680
bd_instance_40,23120,23800,680
bd_instance_41,23800,24480,680
bd_instance_42,24480,25160,680
bd_instance_43,25160,25840,680
bd_instance_44,25840,26520,680
bd_instance_45,26520,27200,680
bd_instance_46,27200,27880,680
bd_instance_47,27880,28560,680
bd_instance_48,28560,29240,680
bd_instance_49,29240,29920,680
bd_instance_5,29920,30600,680
bd_instance_50,30600,31280,680
bd_instance_51,31280,31960,680
bd_instance_52,31960,32640,680
bd_instance_53,32640,33320,680
bd_instance_54,33320,34000,680
bd_instance_55,34000,34680,680
bd_instance_56,34680,35360,680
bd_instance_57,35360,36040,680
bd_instance_58,36040,36720,680
bd_instance_59,36720,37400,680
bd_instance_6,37400,38080,680
bd_instance_60,38080,38760,680
bd_instance_61,38760,39440,680
bd_instance_62,39440,40120,680
bd_instance_63,40120,40800,680
bd_instance_64,40800,41480,680
bd_instance_65,41480,42160,680
bd_instance_66,42160,42840,680
bd_instance_67,42840,43520,680
bd_instance_68,43520,44200,680
bd_instance_69,44200,44880,680
bd_instance_7,44880,45560,680
bd_instance_70,45560,46240,680
bd_instance_71,46240,46920,680
bd_instance_72,46920,47600,680
bd_instance_73,47600,48280,680
bd_instance_74,48280,48960,680
bd_instance_75,48960,49640,680
bd_instance_76,49640,50320,680
bd_instance_77,50320,51000,680
bd_instance_78,51000,51680,680
bd_instance_79,51680,52360,680
bd_instance_8,52360,53040,680
bd_instance_80,53040,53720,680
bd_instance_81,53720,54400,680
bd_instance_82,54400,55080,680
bd_instance_83,55080,55760,680
bd_instance_84,55760,56440,680
bd_instance_85,56440,57120,680
bd_instance_86,57120,57800,680
bd_instance_87,57800,58480,680
bd_instance_88,58480,59160,680
bd_instance_89,59160,59840,680
bd_instance_9,59840,60520,680
bd_instance_90,60520,61200,680
bd_instance_91,61200,61880,680
bd_instance_92,61880,62560,680
bd_instance_93,62560,63240,680
