container_id,start_idx,end_idx,n_points
c_1304,77971,78285,314
c_13045,78285,78604,319
c_1306,78604,78925,321
c_13073,78925,79245,320
c_13083,79245,79567,322
c_13086,79567,79885,318
c_13122,79885,80199,314
c_13131,80199,80518,319
c_13141,80518,80838,320
c_13165,80838,81159,321
c_13171,81159,81473,314
c_13187,81473,81793,320
c_13200,81793,82111,318
c_13204,82111,82429,318
c_13210,82429,82749,320
c_13231,82749,83067,318
c_13290,83067,83383,316
c_13298,83383,83695,312
c_13314,83695,84016,321
c_13323,84016,84330,314
c_13326,84330,84648,318
c_13329,84648,84969,321
c_13334,84969,85275,306
c_13348,85275,85596,321
c_13357,85596,85917,321
c_1339,85917,86237,320
c_13396,86237,86558,321
c_1340,86558,86879,321
c_13416,86879,87200,321
c_13453,87200,87517,317
c_13459,87517,87837,320
c_1348,87837,88153,316
c_1349,88153,88474,321
c_13497,88474,88793,319
c_13518,88793,89094,301
c_13539,89094,89414,320
c_13541,89414,89736,322
c_13595,89736,90057,321
c_136,90057,90377,320
c_13606,90377,90692,315
c_13628,90692,91013,321
c_13665,91013,91330,317
c_13666,91330,91651,321
c_13676,91651,91972,321
c_13677,91972,92292,320
c_13678,92292,92613,321
c_13687,92613,92928,315
c_13692,92928,93249,321
c_1373,93249,93568,319
c_13749,93568,93888,320
c_13760,93888,94210,322
c_13762,94210,94523,313
c_13770,94523,94845,322
c_13773,94845,95166,321
c_13808,95166,95483,317
c_13823,95483,95790,307
c_13828,95790,96111,321
c_13832,96111,96428,317
c_13842,96428,96747,319
c_13866,96747,97069,322
c_13876,97069,97389,320
c_13880,97389,97706,317
c_13899,97706,98026,320
c_13906,98026,98342,316
c_13916,98342,98661,319
c_13919,98661,98970,309
c_13920,98970,99291,321
c_13949,99291,99609,318
c_13979,99609,99929,320
c_13980,99929,100250,321
c_1399,100250,100565,315
c_13991,100565,100886,321
c_13992,100886,101206,320
c_14009,101206,101526,320
c_1401,101526,101841,315
c_14027,101841,102161,320
c_14035,102161,102388,227
c_14045,102388,102708,320
c_14049,102708,103028,320
c_14064,103028,103339,311
c_14084,103339,103659,320
c_1409,103659,103978,319
c_14106,103978,104294,316
c_14107,104294,104614,320
c_14122,104614,104932,318
c_14125,104932,105251,319
c_14133,105251,105572,321
c_14140,105572,105885,313
c_14169,105885,106202,317
c_14185,106202,106520,318
c_14210,106520,106841,321
c_1422,106841,107162,321
c_14233,107162,107483,321
c_14236,107483,107804,321
c_14257,107804,108117,313
c_14258,108117,108439,322
c_1426,108439,108760,321
c_14275,108760,109082,322
c_14294,109082,109403,321
c_14347,109403,109719,316
c_14387,109719,110040,321
c_14391,110040,110346,306
c_14397,110346,110667,321
c_14399,110667,110986,319
c_1441,110986,111307,321
c_14429,111307,111627,320
c_14433,111627,111946,319
c_14434,111946,112260,314
c_14446,112260,112580,320
c_14469,112580,112894,314
c_14472,112894,113213,319
c_14477,113213,113532,319
c_14478,113532,113849,317
c_14485,113849,114169,320
c_145,114169,114482,313
c_14516,114482,114797,315
c_14530,114797,115115,318
c_14537,115115,115433,318
c_14538,115433,115754,321
c_14558,115754,116071,317
c_14591,116071,116372,301
c_14621,116372,116692,320
c_14643,116692,117012,320
c_14666,117012,117333,321
c_14668,117333,117654,321
c_14670,117654,117973,319
c_14712,117973,118293,320
c_14723,118293,118609,316
c_14725,118609,118928,319
c_14732,118928,119248,320
c_14733,119248,119566,318
c_14737,119566,119887,321
c_14738,119887,120206,319
c_14739,120206,120526,320
c_1483,120526,120848,322
c_14833,120848,121161,313
c_14842,121161,121480,319
c_14852,121480,121801,321
c_14864,121801,122104,303
c_14865,122104,122418,314
c_14884,122418,122738,320
c_1492,122738,123057,319
c_14921,123057,123377,320
c_14937,123377,123690,313
c_14955,123690,124011,321
c_14963,124011,124327,316
c_14964,124327,124646,319
c_14968,124646,124963,317
c_14989,124963,125276,313
c_14998,125276,125585,309
c_1502,125585,125896,311
c_15023,125896,126214,318
c_15049,126214,126535,321
c_15072,126535,126856,321
c_15077,126856,127177,321
c_15095,127177,127497,320
c_15100,127497,127819,322
c_15112,127819,128134,315
c_15163,128134,128444,310
c_1519,128444,128762,318
c_15190,128762,129081,319
c_15208,129081,129399,318
c_15209,129399,129719,320
c_15215,129719,130040,321
c_1524,130040,130358,318
c_15241,130358,130676,318
c_15271,130676,130998,322
c_15279,130998,131319,321
c_15294,131319,131641,322
c_15305,131641,131961,320
c_15316,131961,132281,320
c_15329,132281,132603,322
c_1537,132603,132924,321
c_15391,132924,133245,321
c_15405,133245,133562,317
c_15408,133562,133882,320
c_15440,133882,134203,321
c_15447,134203,134519,316
c_15452,134519,134840,321
c_15468,134840,135162,322
c_15498,135162,135481,319
c_15501,135481,135802,321
c_15510,135802,136115,313
c_1553,136115,136434,319
c_15543,136434,136755,321
c_15548,136755,137075,320
c_1557,137075,137390,315
c_15594,137390,137709,319
c_15599,137709,138030,321
c_156,138030,138344,314
c_15602,138344,138662,318
c_15606,138662,138981,319
c_15607,138981,139300,319
c_15612,139300,139618,318
c_15637,139618,139936,318
c_15651,139936,140257,321
c_15674,140257,140569,312
c_1568,140569,140889,320
c_15688,140889,141207,318
c_15736,141207,141524,317
c_15773,141524,141845,321
c_15774,141845,142156,311
c_15796,142156,142476,320
c_15803,142476,142776,300
c_15805,142776,143095,319
c_1581,143095,143408,313
c_15816,143408,143723,315
c_15821,143723,144030,307
c_1584,144030,144349,319
c_15846,144349,144664,315
c_15889,144664,144983,319
c_15893,144983,145302,319
c_15902,145302,145621,319
c_15934,145621,145940,319
c_1594,145940,146256,316
c_15971,146256,146575,319
c_16,146575,146887,312
c_16018,146887,147205,318
c_16021,147205,147524,319
c_16026,147524,147842,318
c_16027,147842,148160,318
c_16035,148160,148480,320
c_16048,148480,148798,318
c_16054,148798,149120,322
c_16056,149120,149439,319
c_16069,149439,149760,321
c_1609,149760,150080,320
c_16092,150080,150400,320
c_16109,150400,150720,320
c_16114,150720,151034,314
c_16148,151034,151346,312
c_16149,151346,151667,321
c_1615,151667,151987,320
c_1616,151987,152305,318
c_16169,152305,152374,69
c_16186,152374,152691,317
c_16201,152691,153011,320
c_16241,153011,153332,321
c_16242,153332,153650,318
c_16243,153650,153970,320
c_16247,153970,154287,317
c_16253,154287,154603,316
c_16255,154603,154921,318
c_16287,154921,155239,318
c_16289,155239,155560,321
c_16301,155560,155879,319
c_16304,155879,156200,321
c_16324,156200,156514,314
c_1635,156514,156831,317
c_16351,156831,157152,321
c_16352,157152,157471,319
c_16363,157471,157784,313
c_16384,157784,158102,318
c_16395,158102,158422,320
c_16406,158422,158739,317
c_16441,158739,159060,321
c_16467,159060,159382,322
c_16474,159382,159702,320
c_16483,159702,160024,322
c_16484,160024,160337,313
c_16492,160337,160654,317
c_16500,160654,160974,320
c_16504,160974,161287,313
c_16516,161287,161595,308
c_16538,161595,161912,317
c_1655,161912,162229,317
c_16563,162229,162550,321
c_16567,162550,162868,318
c_16570,162868,163184,316
c_16573,163184,163501,317
c_16593,163501,163823,322
c_16607,163823,164138,315
c_16651,164138,164457,319
c_16662,164457,164777,320
c_16683,164777,165096,319
c_16685,165096,165412,316
c_16710,165412,165722,310
c_16723,165722,166042,320
c_16737,166042,166363,321
c_16745,166363,166671,308
c_16750,166671,166990,319
c_16751,166990,167303,313
c_16753,167303,167623,320
c_16782,167623,167939,316
c_16783,167939,168256,317
c_16794,168256,168574,318
c_16799,168574,168896,322
c_16802,168896,169215,319
c_16803,169215,169536,321
c_16831,169536,169857,321
c_16834,169857,170177,320
c_16836,170177,170499,322
c_16862,170499,170819,320
c_16870,170819,171136,317
c_16912,171136,171455,319
c_16917,171455,171776,321
c_16925,171776,172097,321
c_16937,172097,172417,320
c_16965,172417,172739,322
c_16968,172739,173057,318
c_16974,173057,173375,318
c_1698,173375,173693,318
c_16984,173693,174009,316
c_16988,174009,174322,313
c_17011,174322,174641,319
c_1702,174641,174957,316
c_17023,174957,175274,317
c_17028,175274,175589,315
c_17058,175589,175910,321
c_17066,175910,176229,319
c_17067,176229,176545,316
c_1707,176545,176863,318
c_17077,176863,177182,319
c_17089,177182,177502,320
c_17114,177502,177824,322
c_17121,177824,178144,320
c_17124,178144,178461,317
c_17136,178461,178782,321
c_17155,178782,179103,321
c_17156,179103,179424,321
c_17188,179424,179745,321
c_17193,179745,180061,316
c_17199,180061,180382,321
c_17208,180382,180696,314
c_17213,180696,181017,321
c_17248,181017,181339,322
c_17250,181339,181659,320
c_17272,181659,181980,321
c_17273,181980,182301,321
c_17295,182301,182622,321
c_17297,182622,182943,321
c_17311,182943,183265,322
c_17312,183265,183585,320
c_17316,183585,183903,318
c_17363,183903,184224,321
c_17365,184224,184544,320
c_17387,184544,184866,322
c_17397,184866,185187,321
c_1741,185187,185509,322
c_1742,185509,185825,316
