Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,0.004003436045531328,8.889002063323282,0.0,0.0
Without lag_immediate,lag_immediate,73,0.007303918504737883,8.851757134076397,-0.003300482459206555,-0.03724492924688505
Without lag_extended,lag_extended,73,0.005647494861985347,8.869549514119921,-0.0016440588164540193,-0.019452549203361258
Without rolling_mean,rolling_mean,73,0.011187166508494828,8.831055963170526,-0.0071837304629635,-0.057946100152756586
Without rolling_std,rolling_std,73,0.0036892861526708343,8.87794796997735,0.00031414989286049355,-0.011054093345931548
Without rolling_range,rolling_range,65,0.0013130352629965314,8.90235825474815,0.0026904007825347964,0.013356191424866992
Without trend,trend,73,0.004757781640406744,8.866466846389754,-0.0007543455948754163,-0.022535216933528446
Without acceleration,acceleration,77,0.003029642784727171,8.910542194307249,0.0009737932608041566,0.021540130983966677
Without volatility,volatility,75,0.004884058722135487,8.889878700041649,-0.0008806226766041592,0.0008766367183667967
Without temporal,temporal,76,0.006435271335700432,8.943406235556965,-0.0024318352901691043,0.05440417223368321
Without historical,historical,77,0.0062654120774695565,8.877805288230187,-0.0022619760319382287,-0.011196775093095468
Without cross_resource,cross_resource,75,0.004598560787977379,8.903627294645936,-0.0005951247424460515,0.014625231322654031
