Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,81,-0.0005855303927846389,20.449838943575223,0.0,0.0
Without lag_immediate,lag_immediate,73,-0.000525834473404041,20.447237369171116,-5.969591938059793e-05,-0.002601574404106799
Without lag_extended,lag_extended,73,-0.00031835147040615297,20.443198615008715,-0.00026717892237848595,-0.006640328566508202
Without rolling_mean,rolling_mean,73,-0.000990356451233465,20.426538484483586,0.00040482605844882613,-0.023300459091636583
Without rolling_std,rolling_std,73,-0.0008234544784491149,20.46097410405205,0.00023792408566447598,0.011135160476825945
Without rolling_range,rolling_range,65,-0.0010323044314832774,20.49176453751435,0.0004467740386986385,0.041925593939126315
Without trend,trend,73,-0.0007545885691706555,20.423238760228255,0.0001690581763860166,-0.02660018334696801
Without acceleration,acceleration,77,-0.000922729665408184,20.475042660421146,0.0003371992726235451,0.025203716845922486
Without volatility,volatility,75,-0.0007999096372788284,20.44461283452399,0.00021437924449418944,-0.0052261090512324415
Without temporal,temporal,76,0.0006057729253101662,20.478103192802898,-0.0011913033180948052,0.02826424922767501
Without historical,historical,77,0.0011287703049069897,20.401354564238787,-0.0017143006976916286,-0.048484379336436234
Without cross_resource,cross_resource,75,0.00015045204352515107,20.405891049047252,-0.00073598243630979,-0.04394789452797099
