container_id,cv,hurst
c_10032,0.34816746272036203,0.7530805527536355
c_10036,0.6685908049592278,0.8641906251094337
c_1005,0.37263118905955767,0.7371320766664702
c_10065,1.0399268650061415,0.727082169544
c_10076,0.36057727612429674,0.638851065993879
c_10082,2.0962436878352184,0.732801242952313
c_10104,0.4256316203863262,0.8239649895345682
c_10105,0.3264765585487743,0.7491720620131455
c_10109,0.3761686067463888,0.8163522668270997
c_10137,0.9522001456515452,0.8070087569882549
c_1017,0.22402698436890037,0.6083782830138001
c_10175,0.5796187895302142,0.759731393332425
c_10188,0.4750368991661573,0.8773113682141789
c_10203,0.2258655892356809,0.8367258700911648
c_10214,0.40850376043817077,0.7701313252079101
c_10215,0.5329053170051196,0.825669325211738
c_1024,0.31586906523981934,0.7359937935194395
c_10241,0.41859086274080776,0.8542814151147948
c_10249,0.3722884509536455,0.7820278615592723
c_10256,0.2800863484004318,0.8810888821531616
c_10260,0.6184846108622812,0.7017111000124163
c_10261,0.5197672910614293,0.721221927655534
c_10264,0.30716876953030553,0.8085019396973674
c_10267,0.42121914838762664,0.8275066057239318
c_10318,0.39857834567282346,0.7019002853782796
c_10326,0.44165658422005477,0.7631402826343421
c_10335,0.7500846769111164,0.8199464017860889
c_10351,0.5003556346026419,0.7925756110327491
c_10355,0.4834438433920215,0.8568371286752237
c_10412,0.5025112474362395,0.738074724197664
c_10415,0.1662084364495351,0.7908254027670787
c_10417,0.2533234602415569,0.7085208957345015
c_10429,0.23987807026900196,0.735686210988573
c_10435,0.3245356079435265,0.7023590212565526
c_10439,0.3469946893655854,0.8322077511833158
c_10441,0.2983273991631117,0.7692332922268292
c_10452,1.4994207485134479,0.8506688603072502
c_10457,0.3256906016373448,0.8580725386990915
c_10459,1.1146234179497805,0.7466967794533984
c_10467,0.3868952969251519,0.7987042049842621
c_10518,0.30206260571514715,0.7891335743212609
c_10527,0.336882106457375,0.8098474225596025
c_10587,0.3253485644735736,0.7213731249177184
c_10588,0.30120043017875014,0.8279681042855402
c_1060,2.073318664476203,0.7413918164675434
c_10603,0.3183369007771517,0.8310338483013995
c_10605,0.4601857699322298,0.7680981584261148
c_10619,0.27561407023660917,0.7512603375563192
c_10620,0.22759931093369046,0.7787270366166699
c_10632,0.34714183144759825,0.7282604465551289
c_10654,0.3529221557311997,0.7712373859475646
c_10663,0.3655409597919103,0.8063405091235016
c_10672,0.4211488170312678,0.6927745508542373
c_10677,0.3677348396669375,0.7511875888771675
c_10684,0.552525437993228,0.8269111661257904
c_10704,0.35331853333162916,0.8602609146186776
c_10728,0.5722274711204342,0.7618834779926085
c_10749,7.516486576636329,0.5015973130692392
c_10775,0.29556643630603724,0.7267453330356863
c_10810,0.4488516785731214,0.8526664103493803
c_10813,1.0346168201662622,0.6449958658911863
c_10816,0.16948698901702863,0.5996470511886114
c_10821,0.21048483945354884,0.8571531796414056
c_10822,0.5647061473692426,0.739961253959444
c_10824,0.5625540850027113,0.8392064177970668
c_10838,0.15201071082611597,0.8142259371181224
c_10844,0.5092638713343094,0.8205155114640621
c_10854,0.33315243470086875,0.7436242817142341
c_10875,0.4631620990873312,0.8441088819653397
c_10903,0.3592300231669476,0.7774633696615183
c_1091,0.4561495538715056,0.7951117631009688
c_10910,0.4132943037000982,0.748899707050809
c_10929,0.33538968855856044,0.7775345301314509
c_10950,0.450886297550851,0.8403873091479603
c_10965,0.6088104500147901,0.6685837408436415
c_10968,0.21819307612554756,0.831515870450456
c_10987,0.536921924740395,0.7416516508226001
c_10999,0.31885153563315555,0.843327252839726
c_11007,0.18510038813085553,0.6924528422481916
c_11015,0.5804225640091978,0.7738594684152676
c_11019,0.1552096939621204,0.7809798901537355
c_11059,0.29151684765687813,0.7874288757855332
c_1108,0.5185213899898201,0.7375033420411702
c_11113,0.5505142011866512,0.7779876913025341
c_11124,0.23950322055435344,0.7697802607025678
c_11133,0.890358055396195,0.7709453864111414
c_11138,0.265180373312626,0.8282239222013016
c_1114,0.2766871458055232,0.819910128137779
c_11178,0.4390640011779166,0.6467391555063715
c_11179,0.16031846561236784,0.7819222834532114
c_11203,0.319462288579153,0.7997228270387524
c_11210,0.367907827805824,0.8158480331569955
c_11227,0.4402709045742421,0.813779529532792
c_11240,0.45065570670739163,0.6954330702192877
c_11243,0.8389842852922498,0.7590003813834119
c_11245,0.36624381718940757,0.5841346384482615
c_11250,0.5019781212701095,0.7251468188104248
c_11264,0.264694556391984,0.8366501868212863
c_11271,0.34757492697626685,0.7175279617796659
c_11277,1.0498649301639702,0.7447134628537357
c_11286,0.23769337134596705,0.7443573928645375
c_11337,0.24193098129162702,0.7493728731602189
c_11349,0.26512946297508583,0.8372029549053437
c_11359,0.21116730932481545,0.7829388274770235
c_1137,0.17110111786343926,0.7416218191808795
c_11380,0.4201409938793247,0.8086523641560344
c_11418,0.32175468383846767,0.6393045841317921
c_11430,0.2794806778362365,0.7514011402013687
c_11433,0.32729215085743535,0.7839862927372986
c_1144,0.33666232742813645,0.821763663962271
c_11450,0.251919406193544,0.8024504805160407
c_11455,0.35463046824781447,0.6966138656770362
c_11459,0.5560207129265119,0.7610194003319137
c_11473,0.3214809535755903,0.8354847202137775
c_11502,0.3336459769825242,0.7568126729381153
c_11505,0.14902847625647622,0.7203356659479675
c_11523,0.39360665647929116,0.717869608838991
c_11532,0.2823062101648916,0.724243096968208
c_11533,0.5340954287022668,0.8045720416700897
c_11539,0.18393051081637113,0.7575187853350311
c_11540,0.32202177594684717,0.7588557580551412
c_11550,18.357559750685816,0.43384491864441693
c_11555,0.5524802198434764,0.8366284594723236
c_11564,0.3201208897641282,0.7177029560835315
c_11567,0.2706760259680861,0.6719407577129122
c_11585,0.4040080748072564,0.8124639275751735
c_11589,0.3023175771552156,0.8728153454138458
c_11591,0.26160034785096953,0.6691139510580608
c_11601,0.47154600818335807,0.7669055736901296
c_11624,0.36307884329656837,0.7578198581226909
c_1163,0.3676825070549943,0.7656283316377716
c_11634,0.26986910802695396,0.7017499815305523
c_11642,0.3339847931063495,0.7486512243849348
c_11655,0.48917952919958724,0.8985664798800139
c_1166,0.42621760703580436,0.8535127581444045
c_11680,0.1980389036482145,0.8076332357644619
c_11687,0.281905172167296,0.7988973573939194
c_11730,0.18648244429039848,0.8661698268236058
c_11732,0.41833440777651204,0.690654500801453
c_11737,0.8487158334421565,0.8303539818700842
c_11751,0.22927229015169973,0.7438278008619703
c_11759,0.3091889136226917,0.8389478657544895
c_1177,0.2366424508409708,0.6539252249842386
c_11781,0.2251901545713615,0.7824888169792323
c_11787,0.3200802033436458,0.8300862291473248
c_11802,0.4015504909702715,0.6758387979580851
c_11809,0.2991955816014797,0.8361384339295643
c_11820,0.21126596234959608,0.8748624981752975
c_11821,0.37173488362836427,0.7255263044079695
c_11843,0.4439173568976446,0.763109106087696
c_11857,0.33947907083111684,0.705678673778036
c_11864,0.35357718412477385,0.8163700642744827
c_11889,0.5322364652785208,0.7699875442421396
c_11917,0.2527596680650383,0.751532218992957
c_1194,4.862113731447058,0.6655444826490935
c_1195,0.3932599591834784,0.8512938121732874
c_11985,0.1523410207848031,0.7987480228441413
c_11999,0.12848397938122844,0.7624914902308921
c_12,0.3550735508169884,0.8277724866625045
c_12008,0.5005843694571388,0.7476174402231173
c_1203,0.24683074154671464,0.7380362850224628
c_12035,0.17577688397503044,0.7232798218411844
c_12074,0.4153696396096931,0.7426519656890285
c_12078,2.7336463200193615,0.7674524670073972
c_12084,0.3149012367835777,0.776008093807012
c_12111,0.25279529946876617,0.7058560926294254
c_1214,0.3113370485337997,0.8003471222613264
c_12141,0.8838221127647189,0.7787964111217446
c_12176,0.2300035613744593,0.8299998347973307
c_12183,0.34490282182334653,0.7848937928792858
c_12209,0.2836985978702132,0.7026824394311173
c_12212,1.5765789128825591,0.7849692480928591
c_12223,0.43721711880017605,0.8883259460477222
c_12238,0.20968899294330673,0.7713145867858615
c_12251,0.45267088400386823,0.775103843645401
c_12254,0.46950837161475406,0.8137807707107914
c_12260,0.46961808194368215,0.8318986731351916
c_12264,0.38959362323198027,0.7939420668846673
c_12272,0.35996628592311813,0.6795540926712064
c_12281,0.37954343538528146,0.7734827064364158
c_12282,0.44380131720458793,0.8301892454315236
c_12293,0.16691285220668267,0.7437917186747857
c_12362,0.2518972937069864,0.8508902487554574
c_12375,0.5774143725307429,0.8573668041504525
c_12425,0.1863096728343518,0.7836993484272089
c_12436,0.36216690325141276,0.92016699373262
c_12448,0.5445281564639987,0.8635475378242761
c_1245,0.18837146305740488,0.7596711819058994
c_12451,0.7479743678936255,0.8719581571168953
c_12462,0.6617761695096704,0.7504288479535193
c_12471,1.0280922972937478,0.7642119919138252
c_12481,0.3607135252419743,0.7317198297043065
c_12499,0.16265260837834442,0.825100199591708
c_12514,0.26479921744763724,0.7900281056123849
c_12526,0.2858919363709891,0.8482861523751657
c_12536,0.26412020406265857,0.766203205997527
c_12545,0.28882223200929885,0.7910600317170615
c_1255,0.31737670818937286,0.8787710448356985
c_1256,3.9680294246215913,0.7144720529675105
c_12562,0.3766044980083925,0.8200694928043557
c_12596,0.7651573359672503,0.7569637186228377
c_12604,0.3945491160472939,0.7794308801165708
c_12607,0.6452547160662767,0.8213234287296275
c_12645,0.31035205078067674,0.8708405359206948
c_12670,0.2719726470512718,0.8108448696934738
c_12674,1.3332556170559664,0.9066555853742598
c_12689,0.27076409301803966,0.8488872131201768
c_12691,0.36784578630717973,0.8719644788917958
c_12695,0.48499783198777613,0.8559346388349682
c_12701,0.21945017819378887,0.7184646305983274
c_12715,0.2333591495445036,0.7353147238916067
c_12722,0.3554704517987323,0.8298192370863005
c_1277,0.2431681706906894,0.8176869498763227
c_12774,0.20558282330011263,0.8135767492274909
c_12775,0.28099604097533737,0.7315155893953255
c_12782,0.5418950694293713,0.7280005598613841
c_12792,0.29098261333763203,0.6957919557016744
c_12798,0.5408587961639637,0.8095111201360031
c_12814,2.517453497268864,0.6026789354429157
c_12819,0.41907681616721465,0.7695269406001883
c_12831,0.5710961898614539,0.8428308425548539
c_12839,1.5930936422113375,0.6648676918513916
c_12840,0.296243750194153,0.7665166833362527
c_12859,0.16195657286615608,0.7726251095086203
c_12879,0.16574727949148532,0.8611349605955563
c_12894,0.4920061826260138,0.7595221175311206
c_12896,0.3792167055055899,0.7263190892551519
c_12903,0.11547122527729149,0.7440730865088682
c_12910,0.4528679268463044,0.5715728970462353
c_12931,0.15675866497303081,0.7676993220001995
c_12935,0.3742451479328999,0.8274760978659466
c_12954,0.23784053219171947,0.8345262163347088
c_12959,0.8696201003264779,0.7722208016097418
c_12962,0.4725914312493318,0.8471219236062351
c_12981,0.32374497066705693,0.7791107282941806
c_12991,1.025787619419296,0.8387676877571031
c_13013,0.246385659691102,0.7768356433859447
c_13025,0.16056653523753248,0.8088265189004977
c_13045,0.3973886899536608,0.6638425804718275
c_13073,0.3937426748419791,0.7644948660176547
c_13083,0.22285247783437043,0.7595039778998411
c_13086,0.3326034133018755,0.7774237752156538
c_13122,0.3265807844602315,0.7662182200077224
c_13165,0.323219736111613,0.8110762051462785
c_13171,1.065850802738158,0.8337516026539158
c_13187,0.28555506977895023,0.713681670037218
c_13200,0.1626127123575464,0.7671784310840963
c_13204,0.2932596230625593,0.8847810646968519
c_13210,0.3046612356294608,0.8035865955887134
c_13231,0.3533324240054601,0.8361384313453311
c_13290,0.40414399732371126,0.8137173161349988
c_13298,0.473687130121537,0.81615557392074
c_13314,0.3053937114871141,0.8557654586009337
c_13323,0.2696214241091615,0.7239971158105026
c_13326,8.221779245330312,0.6240491285163958
c_13329,0.14907471226482216,0.7285917060292864
c_13334,0.22225400902240974,0.7565504728043785
c_13348,0.6419135590204136,0.7089397731500483
c_13357,0.3321488435314373,0.7250405144215106
c_13396,0.5757368267058189,0.8561166998642618
c_1340,0.2409531073892216,0.7718084820655353
c_13416,0.20929030225808573,0.71728497775738
c_13453,0.49316024611109005,0.856457486936766
c_13459,0.3535201951109473,0.7742352128126682
c_1348,0.38058851159461804,0.7251090068839863
c_1349,0.3200794783401819,0.7554437308085302
c_13497,0.25006571632190755,0.731894982577911
c_13518,0.3258413763672616,0.7375820920073041
c_13539,0.5105375047959033,0.8767731571115143
c_13541,0.05360540414333798,0.4339955140934525
c_13595,0.18033762700798145,0.7457911361154218
c_136,0.5734302752796634,0.8291782698594079
c_13606,0.4396789833297356,0.8520615051493496
c_13628,0.2821817385666069,0.7113319701856072
c_13665,0.2063108869458949,0.6729578862326195
c_13666,0.3459206952640149,0.902731344874615
c_13676,0.355870974664393,0.7710366001775177
c_13677,0.34348629809371933,0.7658522662591042
c_13687,0.33195642350529997,0.8684909764535909
c_13692,1.3511842766134403,0.7970401974951291
c_1373,0.3759475293205308,0.6276955787726489
c_13749,0.6113654507482906,0.7236116643443165
c_13760,0.22367579634075208,0.8303422703094756
c_13762,0.30147909577830406,0.6665469717983903
c_13770,0.3571396922046777,0.7410395687388192
c_13773,0.34894493431909834,0.7963726488364201
c_13808,0.3423522175883295,0.7592414091267379
c_13823,0.37279410466941526,0.7181928366480803
c_13828,0.2785757126466644,0.8414034915248882
c_13832,0.24924448871545765,0.6736898856270804
c_13842,0.41528066005092634,0.7442596271962991
c_13866,0.32102561137423274,0.7170934550244937
c_13876,0.25444596156790905,0.7683956258538165
c_13880,0.39082690283624755,0.7720268881506511
c_13906,0.4003595398165854,0.779504241413061
c_13916,0.41446954007437864,0.6866858388273178
c_13919,0.2760027391687196,0.7434310230832981
c_13920,1.233961785194193,0.7724728405205061
c_13949,0.2500505830395706,0.7470135999212142
c_13979,0.5328787228887247,0.7942179015167059
c_13980,0.42813313230606354,0.8691352320419486
c_1399,0.49206478423358385,0.7422213576609605
c_13991,0.29710192841942873,0.8042362679461232
c_13992,0.3949101202286523,0.7886221478518023
c_14009,0.3600971741329613,0.7509791464244475
c_1401,0.33841976570812826,0.6901524446542712
c_14027,0.49082581201375575,0.6862848479728718
c_14035,0.2836322185669266,0.7622040969569028
c_14045,0.22576870821419742,0.6254137307019134
c_14049,0.38332582938388526,0.7841044771803531
c_14064,0.27209660164535804,0.7740687796769758
c_14084,0.5715759550197157,0.8366175199363401
c_1409,0.383950418097248,0.8065009847129554
c_14107,0.3420491093583004,0.7062009188671239
c_14122,0.30425958409157533,0.6837737805774797
c_14125,0.2803577337955597,0.8408803350556281
c_14133,1.1977877616256312,0.6885791879629388
c_14140,0.34737161014188683,0.7693786614535741
c_14169,0.24960577948511403,0.8195372960247792
c_14185,0.37675409066971344,0.8125320841299764
c_14210,0.8565529372415481,0.8696735070272967
c_1422,0.3592211358164238,0.6497348987120505
c_14233,0.23891281048901777,0.7774993561972636
c_14236,0.20629893588036496,0.826937812828878
c_14257,0.20607294965794412,0.8658259932713903
c_14258,0.3862925887004964,0.7312392810633659
c_1426,0.3722845061056074,0.7121219278384456
c_14275,0.7704774326470325,0.7892889241559278
c_14294,0.35132482159374434,0.8280424491466343
c_14347,0.3480994952347633,0.8004757973969165
c_14387,0.1321144492466607,0.7251720142385862
c_14391,0.3143636134123024,0.8556904160979759
c_14397,0.31861803129093075,0.7290653670008778
c_14399,0.5007411996478093,0.7349720614632975
c_1441,0.5968194586300827,0.6498168992790926
c_14429,2.5715220681860824,0.7334701484218753
c_14434,0.3290055258437811,0.7829060894582086
c_14446,0.2764303867610084,0.7306977142906417
c_14469,0.31276854810391047,0.7415019131500542
c_14477,0.7892795349426485,0.7534141439900282
c_14478,0.36932663412276756,0.7705448890995577
c_14485,0.8722122510060851,0.7520144220687535
c_145,0.22114113848832578,0.73465651944015
c_14516,0.24300965540491984,0.7512539026588823
c_14530,0.24975894223289444,0.8102072031889919
c_14537,0.32598805473272263,0.8208577092390175
c_14538,0.2378528811344742,0.759882683793532
c_14558,0.40049929212258895,0.7931680551640565
c_14591,0.3623104536934775,0.8371705052058596
c_14621,0.2876335093393658,0.8382221264691054
c_14643,0.3889623459725003,0.9022515855046644
c_14666,0.20883463280937964,0.7649961157139772
c_14668,0.3703631766818776,0.8350988746687953
c_14670,0.4733425421468921,0.8122295791351036
c_14712,0.2817931726763352,0.6205871021285684
c_14723,0.31566817897962,0.7183233861137894
c_14725,0.2661192401898222,0.7256654495233484
c_14732,0.24876008191278348,0.7526214561042164
c_14733,0.30734536527204304,0.8142599679954596
c_14737,0.6167465636852515,0.8105878329503445
c_14739,0.332124467653607,0.7455719767023153
c_1483,0.48915441095292644,0.7290220228334873
c_14833,0.2824968403962013,0.7520629734893789
c_14852,0.4392528660801081,0.7912565186737783
c_14864,0.49956844089454056,0.8398117363650748
c_14865,0.4262540745460889,0.7950664160187328
c_14884,0.21889039884630154,0.6428907211770525
c_1492,0.20943519747826245,0.7298826776409605
c_14921,0.3362082798707686,0.7469491200241216
c_14937,0.14776043895924434,0.8130511573950256
c_14955,1.1755097026492596,0.6742433884498689
c_14963,0.19369814265343804,0.7238998569215709
c_14964,0.16407292815398739,0.7175310575570293
c_14968,0.4037456406577536,0.7571672554591706
c_14989,0.3832024351234889,0.6102374829321313
c_14998,0.1964055230214611,0.773730597412158
c_1502,0.17937328397347352,0.785688397201432
c_15023,0.232429678003924,0.7353369200973917
c_15049,0.40077142652482106,0.8672124558433167
c_15072,0.2683703961459052,0.7105515628668935
c_15077,0.37660062942016953,0.7658947348492189
c_15095,0.48840655414547274,0.631992423256716
c_15100,0.4881911528485525,0.8273152678424212
c_15112,0.4483590714608662,0.8432913298286759
c_15163,0.3575857010902146,0.823803047286191
c_1519,0.6575440632032544,0.7003449097508031
c_15190,0.3941522294464982,0.7482858968566211
c_15208,0.2227616707022715,0.7750968345993582
c_15209,1.2161907379470662,0.8916307775786336
c_15215,0.2079563201713601,0.7766051397783807
c_1524,0.3600228718959325,0.7269823429793294
c_15241,0.3327404700480616,0.7723445033945047
c_15271,0.2005932088757084,0.8074583827607558
c_15279,0.22679055384188526,0.7664653366383491
c_15294,0.5695566388422584,0.8313470200093673
c_15305,0.2523831770123992,0.7626159493495639
c_15316,0.15670004643156665,0.8477271076830373
c_15329,0.5100785993264098,0.7495463915813659
c_1537,0.3886871734774727,0.8046825069008148
c_15391,0.3500382729276361,0.8019345847862954
