container_id,dataset,horizon,horizon_min,model,r2,n_points,naive_r2,pred_key,source
c_10032,alibaba,h010,10,chronos2,0.8188817223837209,20,0.8449612403100775,y_pred_mean,foundation_npz
c_10036,alibaba,h010,10,chronos2,0.9388386023019353,20,0.9531297248261265,y_pred_mean,foundation_npz
c_1005,alibaba,h010,10,chronos2,0.9528033709325294,20,0.9272273625116956,y_pred_mean,foundation_npz
c_10065,alibaba,h010,10,chronos2,0.20138733574386802,20,0.19191919191919193,y_pred_mean,foundation_npz
c_10076,alibaba,h010,10,chronos2,-1.9758987984415946,20,-2.6077782374844856,y_pred_mean,foundation_npz
c_10082,alibaba,h010,10,chronos2,-115.64194768591773,20,-175.9620253164557,y_pred_mean,foundation_npz
c_10104,alibaba,h010,10,chronos2,0.9505281096689301,20,0.9603625848793008,y_pred_mean,foundation_npz
c_10105,alibaba,h010,10,chronos2,-0.3754232200280343,20,-0.3720316622691293,y_pred_mean,foundation_npz
c_10109,alibaba,h010,10,chronos2,0.6944596012035937,20,0.6982539413459908,y_pred_mean,foundation_npz
c_10137,alibaba,h010,10,chronos2,0.21625551970108703,20,0.5652173913043479,y_pred_mean,foundation_npz
c_1017,alibaba,h010,10,chronos2,0.1967867700289575,20,0.2277992277992278,y_pred_mean,foundation_npz
c_10175,alibaba,h010,10,chronos2,0.28164955412403037,20,0.08235682455850801,y_pred_mean,foundation_npz
c_10188,alibaba,h010,10,chronos2,0.9175127470442305,20,0.9195809355171904,y_pred_mean,foundation_npz
c_10203,alibaba,h010,10,chronos2,0.8409715819283456,20,0.7997892518440464,y_pred_mean,foundation_npz
c_10214,alibaba,h010,10,chronos2,0.8892711726384365,20,0.9322475570032573,y_pred_mean,foundation_npz
c_10215,alibaba,h010,10,chronos2,0.5525760733515965,20,0.6649663077019963,y_pred_mean,foundation_npz
c_1024,alibaba,h010,10,chronos2,-0.09583978389938697,20,-0.16445352400408564,y_pred_mean,foundation_npz
c_10241,alibaba,h010,10,chronos2,0.9369711523239614,20,0.9316109422492401,y_pred_mean,foundation_npz
c_10249,alibaba,h010,10,chronos2,0.8252211557738572,20,0.871692060946271,y_pred_mean,foundation_npz
c_10256,alibaba,h010,10,chronos2,0.9845429487854997,20,0.9915696295906001,y_pred_mean,foundation_npz
c_10260,alibaba,h010,10,chronos2,0.2887684900217452,20,0.37149270482603813,y_pred_mean,foundation_npz
c_10261,alibaba,h010,10,chronos2,0.5796524438386162,20,0.7916666666666667,y_pred_mean,foundation_npz
c_10264,alibaba,h010,10,chronos2,0.8621051463125846,20,0.891745602165088,y_pred_mean,foundation_npz
c_10267,alibaba,h010,10,chronos2,0.5998692711307825,20,0.4540262707024557,y_pred_mean,foundation_npz
c_10318,alibaba,h010,10,chronos2,-0.37733778386254,20,-0.720257234726688,y_pred_mean,foundation_npz
c_10326,alibaba,h010,10,chronos2,-2.052687644958496,20,-2.125,y_pred_mean,foundation_npz
c_10335,alibaba,h010,10,chronos2,0.7427436947036798,20,0.7905592175207314,y_pred_mean,foundation_npz
c_10351,alibaba,h010,10,chronos2,-0.1601997298939173,20,-0.07023411371237454,y_pred_mean,foundation_npz
c_10355,alibaba,h010,10,chronos2,0.9640603483955317,20,0.974006683995544,y_pred_mean,foundation_npz
c_10412,alibaba,h010,10,chronos2,0.849187651874566,20,0.8729250383959942,y_pred_mean,foundation_npz
c_10415,alibaba,h010,10,chronos2,0.6714500144675926,20,0.8148148148148148,y_pred_mean,foundation_npz
c_10417,alibaba,h010,10,chronos2,0.5327826605902778,20,0.5,y_pred_mean,foundation_npz
c_10429,alibaba,h010,10,chronos2,0.38785099637681164,20,0.285024154589372,y_pred_mean,foundation_npz
c_10435,alibaba,h010,10,chronos2,0.6282216664907094,20,0.7972972972972974,y_pred_mean,foundation_npz
c_10439,alibaba,h010,10,chronos2,0.929268703371097,20,0.9502625034539928,y_pred_mean,foundation_npz
c_10441,alibaba,h010,10,chronos2,0.895418232062196,20,0.906184850590688,y_pred_mean,foundation_npz
c_10452,alibaba,h010,10,chronos2,0.242208698161117,20,0.21568627450980382,y_pred_mean,foundation_npz
c_10457,alibaba,h010,10,chronos2,0.9719098379870806,20,0.9791623254844759,y_pred_mean,foundation_npz
c_10459,alibaba,h010,10,chronos2,-4.309723838283098,20,-6.754137115839245,y_pred_mean,foundation_npz
c_10467,alibaba,h010,10,chronos2,0.3951883807513652,20,0.3848471533488167,y_pred_mean,foundation_npz
c_10483,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_10518,alibaba,h010,10,chronos2,0.8373162767233857,20,0.8429319371727748,y_pred_mean,foundation_npz
c_10527,alibaba,h010,10,chronos2,0.6683722307308733,20,0.6181792278102294,y_pred_mean,foundation_npz
c_10587,alibaba,h010,10,chronos2,0.5270501999627977,20,0.5238095238095238,y_pred_mean,foundation_npz
c_10588,alibaba,h010,10,chronos2,0.9758693150111607,20,0.9812297077922078,y_pred_mean,foundation_npz
c_1060,alibaba,h010,10,chronos2,0.996074041821331,20,0.9952830188679245,y_pred_mean,foundation_npz
c_10603,alibaba,h010,10,chronos2,0.9706865280846363,20,0.972807613868117,y_pred_mean,foundation_npz
c_10605,alibaba,h010,10,chronos2,0.7716711910151983,20,0.9799781579905351,y_pred_mean,foundation_npz
c_10619,alibaba,h010,10,chronos2,0.8731847066126504,20,0.8575535807631992,y_pred_mean,foundation_npz
c_10620,alibaba,h010,10,chronos2,0.531402587890625,20,0.5170454545454546,y_pred_mean,foundation_npz
c_10632,alibaba,h010,10,chronos2,0.9426349323165361,20,0.9675490241527978,y_pred_mean,foundation_npz
c_10654,alibaba,h010,10,chronos2,0.5043870666485848,20,0.445704704605977,y_pred_mean,foundation_npz
c_10663,alibaba,h010,10,chronos2,0.9014465443071559,20,0.9151000606428138,y_pred_mean,foundation_npz
c_10672,alibaba,h010,10,chronos2,-0.24819964651022874,20,-0.256317689530686,y_pred_mean,foundation_npz
c_10677,alibaba,h010,10,chronos2,0.4538512842615223,20,0.4692737430167597,y_pred_mean,foundation_npz
c_10684,alibaba,h010,10,chronos2,0.8736399823547394,20,0.9092846603639543,y_pred_mean,foundation_npz
c_10704,alibaba,h010,10,chronos2,0.6477591437429417,20,0.6279644584602928,y_pred_mean,foundation_npz
c_10728,alibaba,h010,10,chronos2,0.9339589351365546,20,0.9327731092436975,y_pred_mean,foundation_npz
c_10749,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_10775,alibaba,h010,10,chronos2,0.3737441967851438,20,0.32907348242811507,y_pred_mean,foundation_npz
c_10810,alibaba,h010,10,chronos2,0.9488752020309832,20,0.9658453281288119,y_pred_mean,foundation_npz
c_10813,alibaba,h010,10,chronos2,-0.08371933571605727,20,-0.14512471655328785,y_pred_mean,foundation_npz
c_10816,alibaba,h010,10,chronos2,-2.1866776315789473,20,1.0,y_pred_mean,foundation_npz
c_10821,alibaba,h010,10,chronos2,0.6280798112383541,20,0.6273291925465838,y_pred_mean,foundation_npz
c_10822,alibaba,h010,10,chronos2,0.6197027756303521,20,0.6003805899143673,y_pred_mean,foundation_npz
c_10824,alibaba,h010,10,chronos2,0.9651518784686306,20,0.9745385105028644,y_pred_mean,foundation_npz
c_10838,alibaba,h010,10,chronos2,0.3740731698495371,20,0.44444444444444453,y_pred_mean,foundation_npz
c_10844,alibaba,h010,10,chronos2,0.9362393315309584,20,0.9346904156064462,y_pred_mean,foundation_npz
c_10854,alibaba,h010,10,chronos2,0.6435484274839743,20,0.6923076923076923,y_pred_mean,foundation_npz
c_10870,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_10875,alibaba,h010,10,chronos2,0.8757225659765991,20,0.8855813051488413,y_pred_mean,foundation_npz
c_10903,alibaba,h010,10,chronos2,0.8790464644568234,20,0.8364956842465493,y_pred_mean,foundation_npz
c_1091,alibaba,h010,10,chronos2,0.432618722975629,20,0.6855345911949686,y_pred_mean,foundation_npz
c_10910,alibaba,h010,10,chronos2,-0.25583867624732104,20,-0.16932603000714486,y_pred_mean,foundation_npz
c_10929,alibaba,h010,10,chronos2,-0.25730161313657396,20,-0.20370370370370372,y_pred_mean,foundation_npz
c_10950,alibaba,h010,10,chronos2,0.9575364214819182,20,0.949685534591195,y_pred_mean,foundation_npz
c_10965,alibaba,h010,10,chronos2,0.20884076286764697,20,0.21568627450980382,y_pred_mean,foundation_npz
c_10968,alibaba,h010,10,chronos2,0.8811902497944079,20,0.868421052631579,y_pred_mean,foundation_npz
c_10987,alibaba,h010,10,chronos2,-0.05298723493303559,20,0.1964285714285714,y_pred_mean,foundation_npz
c_10995,alibaba,h010,10,chronos2,,20,,y_pred_mean,foundation_npz
c_10999,alibaba,h010,10,chronos2,0.9529064197484932,20,0.9494009970979984,y_pred_mean,foundation_npz
c_11007,alibaba,h010,10,chronos2,0.6919990684281843,20,0.6476964769647696,y_pred_mean,foundation_npz
