dataset,metric,point,ci_lo,ci_hi,p_value,n,block_len,sig_holm
alibaba,violation_rate,-0.018966647544225522,-0.021900934986824133,-0.016029196367608488,0.0,14760,25,True
alibaba,replica_mean,0.21997220388162664,0.09098399719161235,0.3527367235485025,0.0,14760,25,True
bitbrains,violation_rate,-0.00230847693845418,-0.0032237956389860817,-0.0014821528909899635,0.0,426,8,True
bitbrains,replica_mean,-0.13207015532550603,-0.4236621077637499,0.14104616136268286,0.4,426,8,False
bytedance,violation_rate,-0.00021753993411647717,-0.0008392120910767191,0.0002954917438415477,0.478,279,7,False
bytedance,replica_mean,0.02127229784324662,-0.07132512897010466,0.10031517392835626,0.58,279,7,False
