container_id,dataset,horizon,horizon_min,model,r2,n_points,naive_r2,pred_key,source
c_2362,alibaba,h060,60,chronos2,-0.6147621909340659,20,-1.197802197802198,y_pred_mean,foundation_npz
c_23626,alibaba,h060,60,chronos2,0.7829842285356273,20,0.7831273042723921,y_pred_mean,foundation_npz
c_23639,alibaba,h060,60,chronos2,-0.134851333942819,20,-1.127659574468085,y_pred_mean,foundation_npz
c_23655,alibaba,h060,60,chronos2,0.10605772385353851,20,0.06898485698261347,y_pred_mean,foundation_npz
c_2366,alibaba,h060,60,chronos2,-0.3666241167360369,20,-0.4906591811054106,y_pred_mean,foundation_npz
c_23666,alibaba,h060,60,chronos2,0.059516231699554556,20,0.14704010184595806,y_pred_mean,foundation_npz
c_23673,alibaba,h060,60,chronos2,0.5491001717631143,20,0.5537199904920371,y_pred_mean,foundation_npz
c_23679,alibaba,h060,60,chronos2,-0.5981657608695654,20,-3.021739130434783,y_pred_mean,foundation_npz
c_23687,alibaba,h060,60,chronos2,0.6849439058410249,20,0.6569775451164073,y_pred_mean,foundation_npz
c_2370,alibaba,h060,60,chronos2,0.7729666573660714,20,0.6845238095238095,y_pred_mean,foundation_npz
c_23701,alibaba,h060,60,chronos2,-0.17685619962579158,20,0.07119554787948579,y_pred_mean,foundation_npz
c_23723,alibaba,h060,60,chronos2,0.06752298893540676,20,-0.1004784688995215,y_pred_mean,foundation_npz
c_23746,alibaba,h060,60,chronos2,-0.47419322620738624,20,-1.1590909090909087,y_pred_mean,foundation_npz
c_23748,alibaba,h060,60,chronos2,0.33607707808369136,20,0.22449878827935676,y_pred_mean,foundation_npz
c_23751,alibaba,h060,60,chronos2,-0.5209197998046875,20,-1.65625,y_pred_mean,foundation_npz
c_23771,alibaba,h060,60,chronos2,0.16691051431390191,20,0.1872057601772361,y_pred_mean,foundation_npz
c_23783,alibaba,h060,60,chronos2,0.016728478296824556,20,-0.143781240811526,y_pred_mean,foundation_npz
c_23787,alibaba,h060,60,chronos2,-0.060326951668014495,20,-0.2483372023266126,y_pred_mean,foundation_npz
c_23790,alibaba,h060,60,chronos2,-0.19591821598101267,20,-2.6075949367088604,y_pred_mean,foundation_npz
c_23791,alibaba,h060,60,chronos2,,20,,y_pred_mean,foundation_npz
c_23838,alibaba,h060,60,chronos2,0.17174340647163122,20,0.08510638297872342,y_pred_mean,foundation_npz
c_23881,alibaba,h060,60,chronos2,0.5180014177370866,20,0.5955179010658649,y_pred_mean,foundation_npz
c_23889,alibaba,h060,60,chronos2,0.03784173955153802,20,-2.634656022540502,y_pred_mean,foundation_npz
c_239,alibaba,h060,60,chronos2,-0.8134529359879032,20,-1.258064516129032,y_pred_mean,foundation_npz
c_23915,alibaba,h060,60,chronos2,0.6732261810701831,20,0.6520425955909827,y_pred_mean,foundation_npz
c_2394,alibaba,h060,60,chronos2,-2.109245098039216,20,-2.4497254901960783,y_pred_mean,foundation_npz
c_23955,alibaba,h060,60,chronos2,-0.13540121167161234,20,-0.36498516320474783,y_pred_mean,foundation_npz
c_23957,alibaba,h060,60,chronos2,0.734961947737069,20,0.8013793103448276,y_pred_mean,foundation_npz
c_23971,alibaba,h060,60,chronos2,0.5743077671248991,20,0.4810432912073138,y_pred_mean,foundation_npz
c_23992,alibaba,h060,60,chronos2,0.7371914226937656,20,0.7504714375511914,y_pred_mean,foundation_npz
c_24000,alibaba,h060,60,chronos2,-1.764160935766995,20,-1.7777777777777777,y_pred_mean,foundation_npz
c_24003,alibaba,h060,60,chronos2,0.6702401985220807,20,0.6633628526186147,y_pred_mean,foundation_npz
c_24022,alibaba,h060,60,chronos2,-0.15439995563596298,20,-1.367115520907158,y_pred_mean,foundation_npz
c_24038,alibaba,h060,60,chronos2,0.7061479859239292,20,0.7364480383348307,y_pred_mean,foundation_npz
c_24049,alibaba,h060,60,chronos2,-0.4168633355034723,20,-5.666666666666667,y_pred_mean,foundation_npz
c_24053,alibaba,h060,60,chronos2,-0.037628173828125,20,0.0,y_pred_mean,foundation_npz
c_24062,alibaba,h060,60,chronos2,0.043705714808752516,20,-0.18538938662991056,y_pred_mean,foundation_npz
c_24064,alibaba,h060,60,chronos2,0.7112809447158082,20,0.7602131438721137,y_pred_mean,foundation_npz
