variant,dataset,baseline_pinball,main_pinball,holdout_pinball,main_imp_pct,holdout_imp_pct,replication_delta_pp
lora_rank4,alibaba,0.44660264253616333,0.42186295986175537,0.4678823947906494,5.539528949922118,-4.7648066150354165,10.304335564957533
lora_rank4,bitbrains,4.858964443206787,3.1796703338623047,7.562755107879639,34.56074085276066,-55.64540955744105,90.2061504102017
lora_rank4,bytedance,0.4594082236289978,0.4396213889122009,0.45152899622917175,4.307026670200845,1.7150819237813735,2.591944746419471
lora_rank8,alibaba,0.44660264253616333,0.4215797483921051,0.4677042067050934,5.602943592531926,-4.72490804109413,10.327851633626057
lora_rank8,bitbrains,4.858964443206787,3.064120292663574,7.498625755310059,36.938820432253735,-54.32559433098394,91.26441476323768
lora_rank8,bytedance,0.4594082236289978,0.445591002702713,0.464784175157547,3.0076128844927035,-1.1701905303485876,4.177803414841291
lora_rank16,alibaba,0.44660264253616333,0.421922504901886,0.46582654118537903,5.526196059683835,-4.304474899666331,9.830670959350165
lora_rank16,bitbrains,4.858964443206787,2.9569809436798096,7.5442891120910645,39.14380361819892,-55.265369818430585,94.40917343662952
lora_rank16,bytedance,0.4594082236289978,0.43509528040885925,0.46968570351600647,5.2922307372044,-2.23711273730015,7.52934347450455
dora_rank8,alibaba,0.44660264253616333,0.421531617641449,0.46692293882369995,5.613720678485293,-4.549972246501251,10.163692924986544
dora_rank8,bitbrains,4.858964443206787,3.027437210083008,7.479325771331787,37.693777234455744,-53.92839068391353,91.62216791836927
dora_rank8,bytedance,0.4594082236289978,0.44046130776405334,0.4877663552761078,4.1242004148896845,-6.1727522905665335,10.296952705456217
curriculum_rank8,alibaba,0.44660264253616333,0.4215054214000702,0.47569534182548523,5.619586349415949,-6.514224619028343,12.13381096844429
curriculum_rank8,bitbrains,4.858964443206787,6.827880382537842,9.327138900756836,-40.52130782895013,-91.95734008296576,51.43603225401563
curriculum_rank8,bytedance,0.4594082236289978,0.3799324929714203,0.5745217204093933,17.299588159257542,-25.05690818311454,42.35649634237208
