Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.008666704516217316,1.7104416894125896,0.0,0.0
Without lag_immediate,lag_immediate,76,0.006861096667804212,1.7118510466490324,0.0018056078484131044,0.0014093572364428653
Without lag_extended,lag_extended,75,0.006124572892320712,1.7123411634683587,0.002542131623896604,0.0018994740557691792
Without rolling_mean,rolling_mean,77,0.005876558399020793,1.7125939901623453,0.0027901461171965236,0.002152300749755698
Without rolling_std,rolling_std,77,0.0055962933138602455,1.7131434909039318,0.0030704112023570707,0.0027018014913422483
Without rolling_range,rolling_range,69,0.006717115327737888,1.7123017369720366,0.001949589188479428,0.00186004755944702
Without trend,trend,77,0.005499329319341606,1.7130609331144928,0.0031673751968757102,0.002619243701903251
Without acceleration,acceleration,81,0.00691031477999049,1.7119355687659803,0.0017563897362268266,0.0014938793533907369
Without volatility,volatility,79,0.006423872891661242,1.7118815772426277,0.002242831624556074,0.0014398878300381224
Without temporal,temporal,80,8.063795723378675e-05,1.7172864298782868,0.00858606655898353,0.006844740465697274
Without historical,historical,81,0.005159110112256671,1.7130254375717524,0.0035075944039606455,0.0025837481591628464
Without cross_resource,cross_resource,79,0.0076204778150734676,1.711265678720843,0.0010462267011438486,0.0008239893082533367
Without cluster,cluster,84,0.006457721463854593,1.7118665072943025,0.002208983052362723,0.001424817881712892
