Experiment,Features_Removed,N_Features,R2,MAE,R2_Drop,MAE_Increase
Baseline,None,85,0.41979091418184944,3.179516845243682,0.0,0.0
Without lag_immediate,lag_immediate,76,0.3664889199428656,3.3258525854511785,0.05330199423898385,0.1463357402074963
Without lag_extended,lag_extended,75,0.006849346507291076,3.598830912164325,0.41294156767455836,0.41931406692064277
Without rolling_mean,rolling_mean,77,0.0068597218907962,3.5987150909261465,0.41293119229105324,0.41919824568246433
Without rolling_std,rolling_std,77,0.3904640741945449,3.259234655544561,0.029326839987304565,0.07971781030087888
Without rolling_range,rolling_range,69,0.11913371026204578,3.5263742470556783,0.30065720391980366,0.3468574018119961
Without trend,trend,77,0.05385805745473826,3.6105230906217405,0.3659328567271112,0.4310062453780583
Without acceleration,acceleration,81,0.008139904739665083,3.5979555836953314,0.41165100944218436,0.41843873845164925
Without volatility,volatility,79,0.006876823301124824,3.598987890329898,0.4129140908807246,0.4194710450862158
Without temporal,temporal,80,0.43598526219023037,3.02737883086348,-0.016194348008380932,-0.15213801438020225
Without historical,historical,81,0.013309146285142015,3.5939215664545907,0.4064817678967074,0.41440472121090854
Without cross_resource,cross_resource,79,0.028897409669434326,3.554870161897866,0.3908935045124151,0.3753533166541838
Without cluster,cluster,84,0.41979091418184944,3.179516845243682,0.0,0.0
