Horizon,naive_R2,naive_MAE,ets_R2,ets_MAE,arima_R2,arima_MAE,linear_reg_R2,linear_reg_MAE,xgboost_R2,xgboost_MAE,lightgbm_R2,lightgbm_MAE,extratrees_R2,extratrees_MAE,bilstm_R2,bilstm_MAE,homo_ensemble_R2,homo_ensemble_MAE,hetero_ensemble_R2,hetero_ensemble_MAE,naive_mem_R2,naive_mem_MAE,homo_ensemble_mem_R2,homo_ensemble_mem_MAE,cpu_improvement_pp,mem_improvement_pp
10min,0.7852046489715576,3.2356746196746826,0.7867120504379272,3.2291715145111084,0.7852046489715576,3.2356746196746826,0.7911856174468994,3.3687074184417725,0.915307879447937,2.1057050228118896,0.8456896624983238,2.7837210731962,0.9097407599573005,2.1694532742362598,0.9346427321434021,1.9025969505310059,0.854154320399809,2.7460364684507312,0.8548777935754714,2.743249680372321,1.0,0.0,,,6.967314460391383,0.0
30min,0.7461885213851929,3.355245351791382,0.7478245496749878,3.34516978263855,0.7461885213851929,3.355245351791382,0.7878687381744385,3.656247615814209,0.8494671583175659,2.8262076377868652,0.8365229141586692,2.9337598180177937,0.8741048369323527,2.629103062616852,0.8715451955795288,2.5693447589874268,0.8093200128622223,3.125144690350663,0.801401744822241,3.1696419231282853,1.0,0.0,,,5.521322343704815,0.0
60min,0.7019219398498535,3.5652225017547607,0.7049505114555359,3.5302159786224365,0.7019219398498535,3.5652225017547607,0.8062527179718018,3.538220167160034,0.8109334707260132,3.1760945320129395,0.7052952547524893,3.5798513694306036,0.8585207135597067,2.8498882917164097,0.8329828381538391,3.0111756324768066,0.7631237083024529,3.411857764405614,0.7628614139617782,3.415219434710542,1.0,0.0,,,6.0939474111924685,0.0
120min,0.6470776796340942,3.8475658893585205,0.648687481880188,3.8418474197387695,0.6470776796340942,3.8475658893585205,0.776445746421814,3.8235061168670654,0.8017296195030212,3.3617775440216064,0.813061534877813,3.136676205352267,0.8353447534059731,3.081255631838378,0.8299281597137451,3.1684627532958984,0.759114176633728,3.5316125324891887,0.760148959657464,3.527691924088948,1.0,0.0,,,11.307128002336974,0.0
